"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","type","percent"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2345,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2348,"successful_grants_11_15_use","70"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2349,"successful_grants_11_15_use","10"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2350,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2351,"successful_grants_11_15_use","40"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2352,"successful_grants_11_15_use","30"
"Spain","Germany","Female","Germany","Spain","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2353,"successful_grants_11_15_use","10"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2354,"successful_grants_11_15_use","40"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2356,"successful_grants_11_15_use","20"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2357,"successful_grants_11_15_use","10"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2359,"successful_grants_11_15_use","40"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2360,"successful_grants_11_15_use","90"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2363,"successful_grants_11_15_use","100"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2366,"successful_grants_11_15_use","100"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2367,"successful_grants_11_15_use","50"
"Australia","","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2368,"successful_grants_11_15_use","10"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2369,"successful_grants_11_15_use","20"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2370,"successful_grants_11_15_use","40"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2372,"successful_grants_11_15_use","20"
"Germany","United States","Male","United States","Germany","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2374,"successful_grants_11_15_use","10"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2376,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2377,"successful_grants_11_15_use","20"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2378,"successful_grants_11_15_use","20"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",2379,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2380,"successful_grants_11_15_use","100"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2386,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2388,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2389,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2391,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2393,"successful_grants_11_15_use","50"
"United States","Australia","Female","Australia","Wisconsin","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2395,"successful_grants_11_15_use","30"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Other",2396,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2398,"successful_grants_11_15_use","20"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2404,"successful_grants_11_15_use","60"
"Australia","Australia","Male","Australia","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",2405,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2406,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2410,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2412,"successful_grants_11_15_use","40"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2413,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2415,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2416,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",2419,"successful_grants_11_15_use","60"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2420,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",2423,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2424,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2425,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2426,"successful_grants_11_15_use","50"
"Germany","Germany","Female","Germany","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",2427,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2428,"successful_grants_11_15_use","20"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2430,"successful_grants_11_15_use","20"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2431,"successful_grants_11_15_use","80"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2432,"successful_grants_11_15_use","0"
"Norway","United States","Male","United States","Norway","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",2434,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2436,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2438,"successful_grants_11_15_use","70"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2439,"successful_grants_11_15_use","10"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",2440,"successful_grants_11_15_use","70"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2441,"successful_grants_11_15_use","0"
"","Canada","Male","Canada","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",2442,"successful_grants_11_15_use","100"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2444,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2445,"successful_grants_11_15_use","40"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2448,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2453,"successful_grants_11_15_use","100"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2454,"successful_grants_11_15_use","40"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",2456,"successful_grants_11_15_use","30"
"United Kingdom","New Zealand","Male","New Zealand","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2458,"successful_grants_11_15_use","70"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2460,"successful_grants_11_15_use","100"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2462,"successful_grants_11_15_use","70"
"Italy","New Zealand","Male","New Zealand","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2464,"successful_grants_11_15_use","20"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2465,"successful_grants_11_15_use","10"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2466,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2467,"successful_grants_11_15_use","40"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2468,"successful_grants_11_15_use","10"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2469,"successful_grants_11_15_use","10"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2470,"successful_grants_11_15_use","20"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2473,"successful_grants_11_15_use","30"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2474,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",2475,"successful_grants_11_15_use","20"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2483,"successful_grants_11_15_use","10"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",2484,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2485,"successful_grants_11_15_use","40"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2487,"successful_grants_11_15_use","40"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2488,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","New York","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",2489,"successful_grants_11_15_use","10"
"New Zealand","","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2490,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2491,"successful_grants_11_15_use","60"
"France","New Zealand","Male","New Zealand","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2492,"successful_grants_11_15_use","0"
"","New Zealand","Male","New Zealand","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2493,"successful_grants_11_15_use","20"
"New Zealand","","Female","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2494,"successful_grants_11_15_use","50"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2496,"successful_grants_11_15_use","20"
"Netherlands","United States","Male","United States","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2498,"successful_grants_11_15_use","20"
"United States","United States","Male","United States","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",2499,"successful_grants_11_15_use","30"
"United States","","Male","United States","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2502,"successful_grants_11_15_use","30"
"United States","United States","Female","United States","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2503,"successful_grants_11_15_use","80"
"Japan","United States","Male","United States","Japan","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2504,"successful_grants_11_15_use","30"
"United States","United States","Male","United States","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2505,"successful_grants_11_15_use","60"
"United States","United States","Male","United States","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2506,"successful_grants_11_15_use","0"
"United States","United States","Female","United States","Virginia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2507,"successful_grants_11_15_use","50"
"United States","United States","Female","United States","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2508,"successful_grants_11_15_use","100"
"United States","United States","Male","United States","Idaho","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2509,"successful_grants_11_15_use","50"
"United States","United States","Male","United States","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2511,"successful_grants_11_15_use","20"
"United States","United States","Male","United States","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2512,"successful_grants_11_15_use","20"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2513,"successful_grants_11_15_use","80"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2514,"successful_grants_11_15_use","40"
"United States","United States","Female","United States","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2515,"successful_grants_11_15_use","50"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2516,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Idaho","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2517,"successful_grants_11_15_use","50"
"United States","United States","Male","United States","Idaho","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2519,"successful_grants_11_15_use","20"
"United States","United States","Female","United States","Virginia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",2520,"successful_grants_11_15_use","10"
"United States","United States","Male","United States","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2521,"successful_grants_11_15_use","100"
"United States","United States","Male","United States","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",2523,"successful_grants_11_15_use","50"
"United States","United States","Male","United States","Idaho","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",2524,"successful_grants_11_15_use","20"
"United States","United States","Female","United States","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2525,"successful_grants_11_15_use","10"
"United States","United States","Male","United States","Idaho","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",2526,"successful_grants_11_15_use","0"
"United States","","Male","United States","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2527,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2529,"successful_grants_11_15_use","50"
"","United States","Male","United States","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2531,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2533,"successful_grants_11_15_use","50"
"United States","United States","Male","United States","Idaho","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2534,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2537,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2538,"successful_grants_11_15_use","10"
"United States","United States","Female","United States","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other",2540,"successful_grants_11_15_use","30"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2541,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Utah","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2542,"successful_grants_11_15_use","50"
"United States","United Kingdom","Male","United Kingdom","Utah","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2543,"successful_grants_11_15_use","90"
"Switzerland","United States","Male","United States","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2545,"successful_grants_11_15_use","0"
"United States","United States","Male","United States","Idaho","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2547,"successful_grants_11_15_use","50"
"United States","United States","Female","United States","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",2548,"successful_grants_11_15_use","100"
"United States","United States","Male","United States","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2549,"successful_grants_11_15_use","50"
"United States","United States","Female","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2550,"successful_grants_11_15_use","40"
"United States","United States","Female","United States","Idaho","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2551,"successful_grants_11_15_use","70"
"Australia","New Zealand","Male","New Zealand","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2554,"successful_grants_11_15_use","10"
"United States","United States","Male","United States","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",2555,"successful_grants_11_15_use","30"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2556,"successful_grants_11_15_use","0"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2558,"successful_grants_11_15_use","50"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2561,"successful_grants_11_15_use","20"
"Australia","Australia","","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2563,"successful_grants_11_15_use","30"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2564,"successful_grants_11_15_use","10"
"New Zealand","Australia","Female","Australia","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2565,"successful_grants_11_15_use","30"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2566,"successful_grants_11_15_use","10"
"Australia","","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2569,"successful_grants_11_15_use","40"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",2570,"successful_grants_11_15_use","10"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2571,"successful_grants_11_15_use","0"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2573,"successful_grants_11_15_use","20"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2579,"successful_grants_11_15_use","100"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2580,"successful_grants_11_15_use","90"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",2584,"successful_grants_11_15_use","0"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2586,"successful_grants_11_15_use","20"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2587,"successful_grants_11_15_use","70"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2589,"successful_grants_11_15_use","70"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",2590,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2591,"successful_grants_11_15_use","40"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",2592,"successful_grants_11_15_use","0"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2594,"successful_grants_11_15_use","20"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2595,"successful_grants_11_15_use","10"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2596,"successful_grants_11_15_use","0"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",2597,"successful_grants_11_15_use","100"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2599,"successful_grants_11_15_use","90"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2600,"successful_grants_11_15_use","10"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2601,"successful_grants_11_15_use","40"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",2602,"successful_grants_11_15_use","70"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2604,"successful_grants_11_15_use","30"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",2606,"successful_grants_11_15_use","0"
"","United States","Male","United States","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",2609,"successful_grants_11_15_use","100"
"United States","United States","Male","United States","Pennsylvania","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2610,"successful_grants_11_15_use","90"
"United States","United States","Female","United States","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",2612,"successful_grants_11_15_use","40"
"United States","United States","Male","United States","New York","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2613,"successful_grants_11_15_use","50"
"Germany","Australia","Male","Australia","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",2614,"successful_grants_11_15_use","100"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",2615,"successful_grants_11_15_use","50"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",2616,"successful_grants_11_15_use","30"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science",2617,"successful_grants_11_15_use","0"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",2619,"successful_grants_11_15_use","80"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2620,"successful_grants_11_15_use","40"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2621,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",2622,"successful_grants_11_15_use","50"
"Australia","Australia","Male","Australia","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",2623,"successful_grants_11_15_use","0"
"Australia","Australia","Female","Australia","Australia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Interdisciplinary Science",2624,"successful_grants_11_15_use","0"
"Australia","Australia","Male","Australia","Australia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",2625,"successful_grants_11_15_use","50"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",2626,"successful_grants_11_15_use","0"
"Australia","Australia","Male","Australia","Australia","","Natural Science",2627,"successful_grants_11_15_use","60"
