"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"","Canada","","Male","Medicine and Life Science","Canada","1984","Senior academic researcher with >10 years of experience applying for research grants",1744,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","Some partnership","Yes",NA,NA,NA,NA,1,"Project ended","Neutral","0","10-12","0","0","7-9","0","50","No need for applications for this research type","No need for applications for this research type","80","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Somewhat important","Not very important","0","70","30","0","0","0","100","0","0","0","","","Decreased considerably","Increased","Increased considerably","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably","","","","High Income"
"Maryland","United States","United States","Male","Medicine and Life Science","","1987","Senior academic researcher with >10 years of experience applying for research grants",1745,"developed","50","0","10","90","40","10","Yes",NA,NA,1,NA,1,"Job related","Neutral","No partnership","","No",NA,NA,NA,NA,NA,"","","7-9","0","4-6","0","13-15","1-3","10","No need for applications for this research type","20","10","No need for applications for this research type","No need for applications for this research type","Quite important","Not at all important","Somewhat important","Not very important","0","100","0","0","0","0","70","10","20","0","","","Decreased","Decreased","Increased","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease considerably","My job I have gotten is applied research to deal with the unfunded issues of industry in medical devices for the blind. I work and am funded by the government. ","We have a big problem here that NIH has been in denial for over ~40 years. The NIH funded science research life eco-system for young doctorates is nearing extinction. We have lost a lot of our talent to the applied medical and other biotech professions, or they never get into science. They do not want to deal with family, the pressure, and  grant rejection of a real research job with an <8% funding rate.  I can only call myself a survivor, because I work my a__ off.  The only research profession that is growing is science administrators (and forms), often populated by the unemployed junior doctorates. I have seen this trend in my own family.  I call it Acadoomia. ","The science ecosystem is dying.  I do not know what to do, but survive. None of my kids are in the biosciences.  Now I must go home, and leave the lab.   I saw my father doing research, and it looked like fun, but if he saw what my life was like today............","High Income"
"France","France","France","Male","Natural Science","France","1993","Senior academic researcher with >10 years of experience applying for research grants",1746,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",1,NA,NA,1,NA,"","Slightly negative","0","1-3","1-3","0","4-6","0","20","30","No need for applications for this research type","40","No need for applications for this research type","No need for applications for this research type","Quite important","Somewhat important","Quite important","Not at all important","0","60","10","30","0","0","90","10","0","0","","","Decreased considerably","Increased considerably","Stayed the same","Not very important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably","","","","High Income"
"Finland","Finland","Finland","Female","Natural Science","Finland","2016","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",1747,"developed","10",NA,"20",NA,"70",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","1-3","0","0","1-3","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","40","No need for applications for this research type","Somewhat important","Somewhat important","Somewhat important","Can't comment","0","60","20","20","0","0","40","40","20","0","","","Decreased considerably","Stayed the same","Stayed the same","Not very important",NA,NA,NA,1,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably","","","","High Income"
"Switzerland","United States","Switzerland","Female","Natural Science","United States","2014","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",1748,"developed","0","0","0","80","100","20","Yes",NA,1,1,NA,NA,"","Slightly negative","No partnership","","No",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","0","80","0","20","0","0","100","0","0","0","","","Decreased considerably","Decreased","Increased considerably","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly","My answers above refer to the period when the Conservative party was in power in Canada.","","My answers about past work refer to my time as a graduate student in Canada. My answers about current work refer to my current position in the USA. Had I accepted post doctoral work in Canada, my funding would have likely been from the private sector, and I would have viewed this as a negative change. Over the course of 15 months in 2013-2015, 5 PhD candidates (myself included) graduated from the lab of my PhD advisor (a very highly regarded Canadian researcher in ecology (fundamental research)). Although we all wanted to work in Canada, all of us left for post doc positions abroad because the Canadian funding climate had shifted so dramatically away from fundamental research and towards applied research / industrial partnerships. To date, only one of us has returned, and she accepted underemployment to do so. I have heard similar stories from many other early career researchers (ECRs) in the last 10 years. I am curious to know whether Canada has become, once again, a net exporter of (ecology / env't science) ECRs. Once ECRs leave the country it can be very difficult to get them back. I strongly believe that fundamental science makes important contributions to society, via its eventual applications to practical problems facing society - following this logic, this ECR diaspora can ultimately mean that the long-term societal contributions are lost from a generation of scientists. Thanks for pursuing this study. I look forward to seeing the results.","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1749,"developed","60",NA,"10",NA,"30",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","30","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Quite important","Can't comment","Can't comment","Can't comment","0","90","10","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Not very important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will increase slightly","","","","High Income"
"Germany","Germany","Germany","Male","Natural Science","Benin","I did not complete a PhD","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",1750,"developed","60",NA,"10",NA,"30",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","4-6","1-3","1-3","1-3","0","0","0","10","10","0","0","0","Quite important","Somewhat important","Quite important","Somewhat important","0","10","0","50","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably","","","As West African young scientist from french speeking country, it is somehow difficult for us to have a grant and according to the needs of institutions. ","High Income"
"Quebec","Canada","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1751,"developed","40",NA,"20",NA,"40",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","1-3","4-6","0","0","1-3","30","50","70","No need for applications for this research type","100","No need for applications for this research type","Very important","Quite important","Quite important","Not very important","0","90","10","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Decreased","Increased","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will stay the same","Will decrease considerably","","","","High Income"
"Nova Scotia","Canada","Canada","Female","Medicine and Life Science","Canada","1979","Senior academic researcher with >10 years of experience applying for research grants",1752,"developed","0",NA,"50",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","7-9","0","1-3","4-6","50","20","No need for applications for this research type","100","30","No need for applications for this research type","Very important","Somewhat important","Can't comment","Can't comment","0","80","20","0","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Can't comment","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same","","The above is based on the current status in Canada. However, with the new government's initiative to evaluate the current research funding status and possibly overhaul it, the trends could change, hopefully for more push back towards fundamental research. ","Thank you for this survey. Hope this makes a difference!","High Income"
"Quebec","Canada","Canada","Male","Natural Science","Canada","1992","Senior academic researcher with >10 years of experience applying for research grants",1753,"developed","0",NA,"90",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Slightly positive","1-3","16+","1-3","1-3","7-9","0","100","100","100","80","100","100","Mandatory","Somewhat important","Mandatory","Somewhat important","0","80","10","10","0","0","90","10","0","0","","","Decreased","Increased considerably","Increased considerably","Very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will increase considerably","","","The support to fundamental science must increase in Canada. There should be more funding opportunities for curiosity-driven science: calls for proposal that are not constrains by other criteria than originality and excellence.","High Income"
"Colorado","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1986","Senior academic researcher with >10 years of experience applying for research grants",1754,"developed","40",NA,"0",NA,"60",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","16+","0","16+","16+","0","16+","No need for applications for this research type","30","30","No need for applications for this research type","30","30","Quite important","Quite important","Somewhat important","Somewhat important","20","80","0","0","0","0","70","0","30","0","","","Can't comment","Decreased","Decreased","Not at all important",NA,NA,NA,1,"Can't comment","Will stay the same","Will stay the same","Will decrease slightly","I find your definition of ""fundamental""  unfortunate (but not uncommon) because it includes work for which there is likely NEVER be any use, as well as including stuff for which there are many potential uses but for which the use is not the current focus.   I define fundamental research as work that could eventually be applied  to solve  multiple significantly different problem in different domains.  (And based on that definition much of my work is fundamental. )   ","Its not really the academic funding avaiblity as much as the increasing academic competition and the  increasing difference in pay and opportunities for good research within companies. ","I find all three of your definitions a bit uncommon and inconsistent with the broader usage.   Your definitions are also not exclusive as addressing societal challenges is not an ""end product""  and specific challenges are not necessarily tied to an end product.  (E.g. how to super cool atoms so one can study behaviors  is a specific challenge but not really an end product is that applied or fundamental.)   Thus much of the survey is likely very biased as I (and I expect others) tried to use your categories with a weak understanding of exactly what they really mean.  ","High Income"
"","Canada","","Male","Natural Science","Canada","2000","Senior academic researcher with >10 years of experience applying for research grants",1755,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","100","","","100","","","Not at all important","Not at all important","Somewhat important","Somewhat important","0","90","10","0","0","0","100","0","0","0","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will stay the same","","","","High Income"
"","Canada","","Female","Natural Science","Canada","1989","Senior academic researcher with >10 years of experience applying for research grants",1756,"developed","10","0","30","80","60","20","Yes",1,NA,1,NA,NA,"","Neutral","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","4-6","0","1-3","1-3","50","0","0","0","50","","Not at all important","Not at all important","Somewhat important","Somewhat important","0","100","0","0","0","0","100","0","0","0","","","Decreased considerably","Increased","Increased","Very important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will stay the same","Will decrease slightly","","","","High Income"
"","United States","","Male","Medicine and Life Science","United States","1992","Senior academic researcher with >10 years of experience applying for research grants",1757,"developed","60",NA,"10",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","No",NA,NA,NA,NA,NA,"","","4-6","1-3","1-3","4-6","1-3","4-6","0","10","20","0","10","30","Very important","Very important","Somewhat important","Somewhat important","0","100","0","0","0","10","90","0","0","0","","","Decreased considerably","Decreased considerably","Decreased considerably","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","","","The question and response is worded in such a manner as I do not know how to respond.  My response to the question is that the funding situation is leading many junior people to seek alternative (not traditional academic) careers.  But, it is not just the funding situation of a lack of an increase to keep up with demand and increases to keep up with costs of living (and doing research) it is also because there are so many schools producing PhD graduates (input into the system) that the opportunities for academic careers (the system) cannot match the input.","","High Income"
"Ontario","Canada","Canada","Male","Natural Science","Canada","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1758,"developed","9.09090909090909","18.1818181818182","18.1818181818182","45.4545454545455","63.6363636363636","36.3636363636364","Yes",NA,NA,1,NA,NA,"","Slightly negative","Strong partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Very negative","4-6","4-6","10-12","0","7-9","1-3","0","50","70","60","50","No need for applications for this research type","Mandatory","Somewhat important","Mandatory","Somewhat important","40","10","50","0","0","0","30","70","0","0","","","Decreased considerably","Increased","Increased considerably","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably","","","In addition to the change towards applied research,  we have seen targeted funding options and programs specifically selecting areas that masquerade as fundamental. However these new programs still shift the balance of research funding and change country research directives towards applied research. In general these funding options are stifling new growth and innovative research","High Income"
"Germany","Germany","Germany","Female","Natural Science","Germany","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1759,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","7-9","0","40","","","80","","","Not at all important","Not at all important","Not at all important","Not at all important","0","70","20","10","0","0","80","0","0","0","","","Decreased considerably","Increased","Increased considerably","Not very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease slightly","","","","High Income"
"Michigan","United States","United States","Male","Engineering","United States","1990","Senior academic researcher with >10 years of experience applying for research grants",1760,"developed","30","10","10","30","60","60","Yes",1,1,1,1,NA,"","Slightly positive","Some partnership","Some partnership","Yes",1,NA,1,1,NA,"","Very positive","1-3","1-3","4-6","1-3","1-3","4-6","0","10","0","0","10","0","Somewhat important","Somewhat important","Not very important","Not very important","0","90","10","0","0","0","90","10","0","0","","","Decreased considerably","Decreased considerably","Decreased considerably","Very important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will decrease slightly","","","","High Income"
"Colorado","United States","United States","Female","Natural Science","United States","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1761,"developed","20","10","30","40","50","50","Yes",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","","No",NA,NA,NA,NA,NA,"","","4-6","1-3","4-6","0","1-3","1-3","0","0","0","0","10","0","Mandatory","Very important","Somewhat important","Somewhat important","0","50","10","40","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Increased","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly","","","","High Income"
"Ontario","Canada","Canada","Female","Physical Science (eg. math, physics, chemistry, computer science)","Canada","1992","Senior academic researcher with >10 years of experience applying for research grants",1762,"developed","50","10","50","90","0","0","Yes",1,NA,NA,NA,1,"our fundamental research worked well, and a natural extension was to direct it toward applied research","Very positive","Some partnership","No partnership","Yes",1,NA,NA,1,NA,"","Slightly positive","4-6","4-6","0","0","4-6","0","30","","50","30","","No need for applications for this research type","Very important","Quite important","Mandatory","Not very important","0","100","0","0","0","0","100","0","0","0","","","Decreased","Increased","Increased","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably","our previous government was only interested in oil/petroleum research (oils sands, for example)","","","High Income"
"Ethiopia","Ethiopia","Ethiopia","Male","Engineering","Ethiopia","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1763,"developing","30",NA,"30",NA,"40",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","Yes",1,1,NA,1,NA,"","Very positive","1-3","1-3","4-6","0","1-3","0","10","80","10","10","0","0","Very important","Somewhat important","Quite important","Somewhat important","0","10","10","80","0","10","20","40","30","0","","","Decreased","Increased considerably","Increased","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase considerably","","","","Low Income"
"","United States","","Female","Medicine and Life Science","United States","2011","Non-academic researcher conducting or managing research in industry or government with <10 years of experience",1764,"developed","20","0","0","70","80","30","Yes",1,1,NA,NA,NA,"","Very positive","Strong partnership","Some partnership","Yes",1,1,NA,NA,NA,"","Very positive","4-6","0","7-9","0","4-6","4-6","No need for applications for this research type","50","70","50","0","No need for applications for this research type","Mandatory","Somewhat important","Not very important","Not very important","0","50","0","50","0","0","60","20","20","0","","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"Lesotho","Lesotho","Lesotho","Male","Interdisciplinary Science","Lesotho","2000","Senior academic researcher with >10 years of experience applying for research grants",1765,"developing","70","40","0","30","30","30","Yes",NA,NA,1,1,NA,"","Slightly positive","Strong partnership","No partnership","Yes",NA,NA,1,1,NA,"","Very positive","1-3","0","4-6","1-3","1-3","1-3","No need for applications for this research type","40","50","0","30","40","Mandatory","Very important","Mandatory","Quite important","0","0","100","0","0","0","0","0","0","30","","International Orgnizations","Decreased considerably","Increased considerably","Increased considerably","Not at all important",NA,1,1,NA,"Can't comment","Will stay the same","Will stay the same","Will decrease considerably","","","Interesting survey!","Low Income"
"Quebec","Canada","Canada","","Physical Science (eg. math, physics, chemistry, computer science)","Canada","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1766,"developed","40",NA,"30",NA,"30",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","0","1-3","0","0","0","","","","","","","Can't comment","","Can't comment","","20","0","80","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Can't comment",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"Quebec","Canada","Canada","Male","Engineering","Canada","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1767,"developed","90",NA,"10",NA,"0",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Strong partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","4-6","1-3","0","0","0","0","100","No need for applications for this research type","40","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Quite important","Can't comment","40","50","10","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","","Increased","Not very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase slightly","Will decrease considerably","","","","High Income"
"British Columbia","Canada","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","1989","Senior academic researcher with >10 years of experience applying for research grants",1768,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","70","","","100","","","Somewhat important","Not at all important","Can't comment","Can't comment","0","100","0","0","0","0","100","0","0","0","","","Decreased considerably","Increased","Increased considerably","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably","This trend has been particularly noticeable in the comparison pure mathematics vs. mathematics with industrial applications","I do not count as research the industrial applications of existing knowledge, (or ""innovations"" as they are currently referred to). I indicated the observed trend thus far, but one hopes that the loss of funding for fundamental research might be reversed due to a recent change in government in my country of work.","","High Income"
"Saskatchewan","Canada","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","1979","Senior academic researcher with >10 years of experience applying for research grants",1769,"developed","10","0","90","100","0","0","Yes",NA,NA,NA,NA,1,"Developed sensors needed for pure research that is now widely used in applied research.","Slightly positive","Some partnership","Some partnership","Yes",1,NA,NA,NA,NA,"","Slightly positive","1-3","4-6","0","0","7-9","0","100","","100","100","","No need for applications for this research type","Very important","Not at all important","Quite important","Not at all important","0","90","10","0","0","0","90","10","0","0","","","Decreased","Can't comment","Increased considerably","Somewhat important",NA,NA,1,NA,"Will decrease slightly","","Will increase slightly","Will decrease slightly","In Canada we have seen funds allocated to ""targeted"" research that had applications increase while research grants for fundamental (pure) research have more or less stagnated.  In most universities this has shifted even more toward applied and/or industrial research.","","The diminishing importance of fundamental research in most Western countries is a result of many years of declining standards in the basic education, particularly so for the sciences.","High Income"
"Indonesia","Indonesia","Indonesia","Female","Natural Science","Indonesia","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1770,"developing","0",NA,"70",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","1-3","0","4-6","1-3","80","80","0","80","50","0","Very important","Very important","Quite important","Quite important","0","80","20","0","0","0","60","40","0","0","","","Stayed the same","Stayed the same","Increased","Very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly","","","","Lower Middle Income"
"Bangladesh","Bangladesh","Bangladesh","Female","Natural Science","Bangladesh","1986","Senior academic researcher with >10 years of experience applying for research grants",1771,"developing","70",NA,"10",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",NA,NA,NA,NA,1,"Chances of testing and dissemination of research products is low whithin the academic institute that I work in","Slightly positive","4-6","1-3","1-3","1-3","0","1-3","50","50","50","No need for applications for this research type","100","100","Very important","Mandatory","Not very important","Not very important","10","10","0","80","0",NA,NA,NA,NA,NA,"","PL480 funds or 416(B) US Government food aid to the Bangladesh Government. Part of the sales proceeds of the food was advised to be allocation to higher reserach ","Decreased","Stayed the same","Increased","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease considerably","Research funds are limited in Bangladesh. So whatever is available needs to visible-product-orientated. For example I work for abiotic stress tolerance in rice. All national grant givers base their award on whether I have released any salt-tolerant variety to the farmer-even though my work at the University needs me to be affiliated with a government mandated institute which can actually test the rice for suitable release and take the subsequent studies. ","The agricultural research institutes are well-funded in our country due to leadership and inspiring role of the Agricultural minister. However Universities are very poorly funded. There are no regular sources of funds for institutional research. Grants can be applied for through the Ministry of S & T and education but the amount of funds are meagre, e.g. most commonly ~$2000 per year. In 1% cases, these may go up to $10,000 per year, but the criteria for selection are not well-documented. On the other hand, the students with the best merit usually study at Universities. Priority-wise the subjects chosen Science are for engineering, medicine, computer science, genetic engineering, pharmacy, microbiology, biochemistry & molecular biology, physics, chemistry, botany, zoology, soil science. One of the least priorities is agriculture. So although the funding is highest in Agricultural Research, the best of students choose to study in general universities and not agricultural ones. And obviously agricultural students  eventually man the Agricultural Institutes  ","We need to do fundamental research in collaboration with countries with advanced research facilities. The PEER endeavor is a step in the right direction. We should do more of these.","Low Income"
"Vietnam","Vietnam","Vietnam","Female","Natural Science","Vietnam","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1772,"developing","70","0","70","50","0","0","Yes",1,NA,1,NA,NA,"","Very positive","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","1-3","7-9","0","50","","","70","","","Quite important","Very important","Quite important","Not very important","20","50","30","0","0","0","80","20","0","0","","","Decreased","Increased","Increased","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same","","","We are in the developing country, therefor, getting the external dunding is very important","Lower Middle Income"
"Nicaragua","Nicaragua","Nicaragua","Male","Interdisciplinary Science","Nicaragua","1996","Senior academic researcher with >10 years of experience applying for research grants",1773,"developing","50","30","10","30","40","20","Yes",1,1,1,NA,NA,"","Slightly positive","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Very positive","1-3","1-3","0","4-6","1-3","0","30","30","40","0","20","30","Quite important","Very important","Somewhat important","Quite important","30","0","0","40","20","0","0","10","30","60","international donors","International donors","Decreased","Decreased","Stayed the same","Not at all important",NA,NA,NA,1,"Will stay the same","Will decrease slightly","Will stay the same","Will decrease slightly","","","","Lower Middle Income"
"Quebec","Canada","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","1999","Senior academic researcher with >10 years of experience applying for research grants",1774,"developed","20",NA,"40",NA,"40",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","4-6","1-3","1-3","4-6","30","30","60","30","60","30","Very important","Quite important","Quite important","Not very important","20","40","40","0","0","20","60","20","0","0","","","Decreased","Stayed the same","Increased","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Can't comment","","","","High Income"
"India","India","India","Female","Medicine and Life Science","India","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1775,"developing","0",NA,"60",NA,"40",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","1-3","1-3","0","0","0","100","100","No need for applications for this research type","","","","Mandatory","","Can't comment","","0","90","10","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly","","","","Lower Middle Income"
"Philippines","Philippines","Philippines","Female","Natural Science","Philippines","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",1776,"developing","50",NA,"20",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","1-3","1-3","0","4-6","50","100","100","No need for applications for this research type","50","No need for applications for this research type","Very important","Very important","Quite important","Quite important","0","40","10","0","50",NA,NA,NA,NA,NA,"Overseas Development Agencies","Overseas Development Agancy","Decreased","Stayed the same","Increased","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly","The government also diversified its portfolio of research providers.","There are just too many older researchers unwilling to mentor the next generation, no one inspires them. And that effect of decreasing interest is not a result of resources or priorities?","I have managed to combine all three types of research in my proposals, making sure there are parts of the project where resources support fundamental research, use based and a final product just to make sure the fundamental aspects are covered.","Lower Middle Income"
"Kenya","Kenya","Kenya","Male","Physical Science (eg. math, physics, chemistry, computer science)","Kenya","1972","Senior academic researcher with >10 years of experience applying for research grants",1777,"developing","0",NA,"20",NA,"80",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","1-3","0","1-3","1-3","10","10","","10","10","","Very important","Somewhat important","Somewhat important","Not very important","0","0","100","0","0","0","0","100","0","0","International cooperation","","Decreased considerably","Stayed the same","Increased considerably","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly","Government funds mostly research in agriculture and health","Availability of research infrastructures will be most attractive to young researchers.","Human talents are being wasted due to lack of funding. These are the next generation innovators. We need to arrest this trend.","Low Income"
