"Location","Country_work","Country"
"United Kingdom","United Kingdom","United Kingdom"
"Switzerland","United Kingdom","Switzerland"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Hong Kong","United Kingdom","Hong Kong"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Switzerland","United Kingdom","Switzerland"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Spain","United Kingdom","Spain"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia"
"China","United Kingdom","China"
"Saskatchewan","Canada","Canada"
"Washington","United Kingdom","United States"
"Oregon","United Kingdom","United States"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Russian Federation","United Kingdom","Russian Federation"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Germany","United Kingdom","Germany"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom",""
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"China","United Kingdom","China"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Spain","United Kingdom","Spain"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Illinois","United States","United States"
"United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","United Kingdom","Italy"
"Alberta","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom",""
"United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom",""
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom",""
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Switzerland","United Kingdom","Switzerland"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Germany","United Kingdom","Germany"
"United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada"
"","",""
"United Kingdom","United Kingdom","United Kingdom"
"New Brunswick","Canada","Canada"
"Massachusetts","United States","United States"
"United Kingdom","","United Kingdom"
"Quebec","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"Belgium","Belgium","Belgium"
"United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"Australia","Australia","Australia"
"Belgium","Belgium","Belgium"
"United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"","Australia",""
"Germany","United Kingdom","Germany"
"United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Canada","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"British Columbia","Canada","Canada"
"Netherlands","Netherlands","Netherlands"
"Ontario","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"Switzerland","Switzerland","Switzerland"
"United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Australia","Australia","Australia"
"Alberta","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Nebraska","United States","United States"
"","Colombia",""
"","Colombia",""
"Nebraska","United States","United States"
"British Columbia","Canada","Canada"
"Massachusetts","United States","United States"
"","Colombia",""
"Nebraska","United States","United States"
"India","India","India"
"Connecticut","United States","United States"
"","United States",""
"New Hampshire","United States","United States"
"New Hampshire","United States","United States"
"New York","United States","United States"
"United Kingdom","United Kingdom","United Kingdom"
"","Canada",""
"Australia","Australia","Australia"
"Quebec","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"New Brunswick","Canada","Canada"
"","Colombia",""
"Massachusetts","United States","United States"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Virginia","United States","United States"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"California","United States","United States"
"United Kingdom","United Kingdom","United Kingdom"
"Connecticut","United States","United States"
"Ontario","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"New Zealand","New Zealand","New Zealand"
"District of Columbia","United States","United States"
"Portugal","New Zealand","Portugal"
"New Zealand","New Zealand","New Zealand"
"Ontario","","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Portugal","Portugal","Portugal"
"","Canada",""
"","Canada",""
"Brazil","Brazil","Brazil"
"United Kingdom","Nigeria","United Kingdom"
"Japan","Canada","Japan"
"Ontario","Canada","Canada"
"Italy","Italy","Italy"
"Spain","Spain","Spain"
"Spain","Spain","Spain"
"Connecticut","United States","United States"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Colorado","United States","United States"
"Finland","Finland","Finland"
"Switzerland","Switzerland","Switzerland"
"Florida","United States","United States"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"United Kingdom","United Kingdom","United Kingdom"
"Ohio","United States","United States"
"Michigan","United States","United States"
"Ontario","Canada","Canada"
"Utah","United States","United States"
"Maryland","United States","United States"
"Australia","Australia","Australia"
"Oregon","United States","United States"
"","Canada",""
"Germany","Germany","Germany"
"Austria","Austria","Austria"
"United Kingdom","United Kingdom","United Kingdom"
"Michigan","Netherlands","United States"
"Ontario","Canada","Canada"
"Oregon","Gabon","United States"
"India","India","India"
"Netherlands","Netherlands","Netherlands"
"Florida","United States","United States"
"California","United States","United States"
"Quebec","Canada","Canada"
"Georgia","United States","United States"
"Rhode Island","United States","United States"
"California","United States","United States"
"Kansas","United States","United States"
"Quebec","Canada","Canada"
"Sweden","Sweden","Sweden"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Maine","United States","United States"
"Ontario","Canada","Canada"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Massachusetts","United States","United States"
"Louisiana","United States","United States"
"Florida","United States","United States"
"Massachusetts","United States","United States"
"Quebec","Canada","Canada"
"Massachusetts","United States","United States"
"Florida","United States","United States"
"Florida","United States","United States"
"United Kingdom","United Kingdom","United Kingdom"
"Massachusetts","","United States"
"Massachusetts","United States","United States"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Germany","Germany","Germany"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"France","Australia","France"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Ohio","United States","United States"
"Australia","Australia","Australia"
"Massachusetts","United States","United States"
"Antigua and Barbuda","United Kingdom","Antigua and Barbuda"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"China","Australia","China"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Germany","Australia","Germany"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Sweden","Australia","Sweden"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Netherlands","Australia","Netherlands"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom"
"","Australia",""
"Massachusetts","United States","United States"
"France","Australia","France"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Arizona","Australia","United States"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Germany","Australia","Germany"
"Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Brazil","Australia","Brazil"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Spain","Germany","Spain"
"Quebec","Canada","Canada"
"Australia","United States","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Ontario","Canada","Canada"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"British Columbia","Canada","Canada"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"Australia","","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Norway","Australia","Norway"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"Germany","United States","Germany"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Brazil","Brazil","Brazil"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Wisconsin","Australia","United States"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Spain","Spain","Spain"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Norway","New Zealand","Norway"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Germany","Germany","Germany"
"New Zealand","New Zealand","New Zealand"
"Germany","Germany","Germany"
"Quebec","Canada","Canada"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Norway","United States","Norway"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"","Canada",""
"Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia"
"Minnesota","Australia","United States"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"United Kingdom","New Zealand","United Kingdom"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Germany","New Zealand","Germany"
"Italy","New Zealand","Italy"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Texas","United States","United States"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New York","United States","United States"
"New Zealand","","New Zealand"
"New Zealand","New Zealand","New Zealand"
"France","New Zealand","France"
"","New Zealand",""
"New Zealand","","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Virginia","United States","United States"
"Netherlands","United States","Netherlands"
"Utah","United States","United States"
"Argentina","Argentina","Argentina"
"Virginia","United States","United States"
"Minnesota","","United States"
"Virginia","United States","United States"
"Japan","United States","Japan"
"Minnesota","United States","United States"
"California","United States","United States"
"Virginia","United States","United States"
"Virginia","United States","United States"
"Idaho","United States","United States"
"Virginia","United States","United States"
"Virginia","United States","United States"
"Minnesota","United States","United States"
"Utah","United States","United States"
"California","United States","United States"
"Virginia","United States","United States"
"Utah","United States","United States"
"Idaho","United States","United States"
"Minnesota","United States","United States"
"Idaho","United States","United States"
"Virginia","United States","United States"
"Virginia","United States","United States"
"Utah","United States","United States"
"Utah","United States","United States"
"Idaho","United States","United States"
"Virginia","United States","United States"
"Idaho","United States","United States"
"Utah","","United States"
"Idaho","United States","United States"
"Utah","United States","United States"
"Utah","United States","United States"
"","United States",""
"Virginia","United States","United States"
"Utah","United States","United States"
"Idaho","United States","United States"
"Idaho","United States","United States"
"Idaho","United States","United States"
"Minnesota","United States","United States"
"Utah","United States","United States"
"Utah","United States","United States"
"Utah","United States","United States"
"Utah","United States","United States"
"Utah","United States","United States"
"Utah","United Kingdom","United States"
"Idaho","United States","United States"
"Switzerland","United States","Switzerland"
"Utah","United States","United States"
"Idaho","United States","United States"
"Utah","United States","United States"
"Minnesota","United States","United States"
"California","United States","United States"
"Idaho","United States","United States"
"Utah","United States","United States"
"Idaho","United States","United States"
"Australia","New Zealand","Australia"
"Utah","United States","United States"
"Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"","United States",""
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"New Zealand","Australia","New Zealand"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Germany","Australia","Germany"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Pennsylvania","United States","United States"
"Pennsylvania","United States","United States"
"","United States",""
"Pennsylvania","United States","United States"
"District of Columbia","United States","United States"
"California","United States","United States"
"New York","United States","United States"
"Germany","Australia","Germany"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Utah","United States","United States"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"France","France","France"
"Alberta","Canada","Canada"
"United Kingdom","Canada","United Kingdom"
"","Canada",""
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"","Canada",""
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"Singapore","Singapore","Singapore"
"United Kingdom","Malta","United Kingdom"
"Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"","Uruguay",""
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Chile","Chile","Chile"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Massachusetts","United States","United States"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"New York","Uruguay","United States"
"Uruguay","Uruguay","Uruguay"
"Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Quebec","Uruguay","Canada"
"Iceland","Uruguay","Iceland"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Virginia","United States","United States"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"Uruguay","Uruguay","Uruguay"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Japan","Malta","Japan"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Romania","Malta","Romania"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"United Kingdom","Malta","United Kingdom"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Luxembourg","Malta","Luxembourg"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay"
"Ethiopia","Ethiopia","Ethiopia"
"Ethiopia","Ethiopia","Ethiopia"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
