Status,Location,what_participant_group,percent_fundemental_research_current,percent_Use_inspired_Research_current,percent_Applied_Research_current,changed_10yrs,percent_Fundamental_Research_past,percent_Use_inspired_Research_past,percent_Applied_Research_past,Main_reason_change_interest_related,Main_reason_change_Career_related,Main_reason_change_Funding_related,Main_reason_change_Socially_related,Main_reason_change_Other,Main_reason_change_Other_text,view_change_of_type,level_partnership_outside_academia,Level_partnership_outside_academia_change_10yrs,level_partnership_outside_academia_before_shift,Main_reason_level_partnership_change_Interest_related,Main_reason_level_partnership_change_Career_related,Main_reason_level_partnership_change_Socially_related,Main_reason_level_partnership_change_Funding_related,Main_reason_level_partnership_change_Other,Main_reason_level_partnership_change_Other_text,view_change_level_partnership_outside_academia,estimate_external_pi_grant_apps_2011_2015_Fundamental_Research,estimate_external_pi_grant_apps_2011_2015_Use-inspired_Research,estimate_external_pi_grant_apps_2011_2015_Applied_Research,estimate_external_pi_grant_apps_2006_2010_Fundamental_Research,estimate_external_pi_grant_apps_2006_2010_Use-inspired_Research,estimate_external_pi_grant_apps_2006_2010_Applied_Research,estimate_successful_grants_2011_2015_Fundamental_Research,estimate_successful_grants_2011_2015_Use-inspired_Research,estimate_successful_grants_2011_2015_Applied_Research,estimate_successful_grants_2006_2010_Fundamental_Research,estimate_successful_grants_2006_2010_Use-inspired_Research,estimate_successful_grants_2006_2010_Applied_Research,suggesting_practical_applications_important_to_grant_success_2011_2015,Main_reason_level_partnership_change_Other_text,based_your_grant_important_include_nonacademia_partners_success_2011_2015,based_your_grant_important_include_nonacademia_partners_success_2006_2010,estimate_distribution_funding_sources_2011_2015_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Government,based_your_grant_important_include_nonacademia_partners_success_2011_2015_For_profit_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Other,based_your_grant_important_include_nonacademia_partners_success_2011_2015_other_text,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Government,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Forprofit_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Other,based_your_grant_important_include_nonacademia_partners_success_2006_2010_other_text,general_grant_success_change_10yrs_Fundamental_Research,general_grant_success_change_10yrs_Use_inspired_Research,general_grant_success_change_10yrs_Applied_Research,opinion_fundamental_important,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_comments,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,next_generation_Comments,field_research,PhD_Year,Country_work,gender
Incomplete,British Columbia,Senior academic researcher with >10 years of experience applying for research grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,10%,,90%,No,,,,,,,,,,,Some partnership,Yes,Strong partnership,,,,1,,,Very positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Quebec,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,20%,50%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,3-Jan,6-Apr,3-Jan,3-Jan,3-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,France,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,0,0,3-Jan,0,0,90%,No need for applications for this research type,No need for applications for this research type,100%,No need for applications for this research type,No need for applications for this research type,Somewhat important,Somewhat important,Not at all important,Not at all important,,100%,,,,,,100%,,,,,Decreased,Can't comment,Can't comment,Somewhat important,,,1,,,Will stay the same,Can't comment,Can't comment,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1991,Canada,Male
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,70%,30%,0%,Yes,90%,10%,0%,,,1,,,,Slightly negative,Some partnership,Yes,No partnership,,,,1,,,Slightly negative,6-Apr,6-Apr,0,6-Apr,0,0,80%,0%,0%,80%,100%,0%,Mandatory,Quite important,Quite important,Not at all important,0%,80%,20%,0%,0%,,30%,70%,0%,0%,10%,International collaborative grants (mostly for travel). ,Decreased,Increased,Increased,Very important,,,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease considerably,,Engineering,2005,Canada,Female
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,80%,20%,,No,,,,,,,,,,,Some partnership,No,,,,,,,,,9-Jul,3-Jan,0,3-Jan,0,0,80%,100%,No need for applications for this research type,100%,No need for applications for this research type,No need for applications for this research type,Somewhat important,Can't comment,Not very important,Can't comment,10%,60%,10%,0%,20%,Private Foundation,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Can't comment,Very important,,,1,,,Will increase slightly,Will increase slightly,Will decrease slightly,Can't comment,,"Physical Science (eg. math, physics, chemistry, computer science)",2008,Canada,Male
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,80%,,20%,Yes,100%,0%,0%,1,,,,,,Neutral,No partnership,No,,,,,,,,,9-Jul,,,3-Jan,,,30%,,,90%,,,Not at all important,Not at all important,Not at all important,Not at all important,100%,,,,,,50%,50%,,,,,Stayed the same,Increased,Increased,Somewhat important,,,1,,,Will increase slightly,,,Will increase considerably,,"Physical Science (eg. math, physics, chemistry, computer science)",1999,Canada,Female
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,10%,40%,50%,Yes,30%,30%,40%,,,1,,,,Slightly negative,Some partnership,Yes,No partnership,,,,1,,,Neutral,3-Jan,3-Jan,3-Jan,0,,6-Apr,50%,60%,80%,50%,60%,70%,Very important,Quite important,Mandatory,Quite important,0%,60%,40%,0%,0%,,20%,80%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Stayed the same,Increased,Not very important,,,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,,Engineering,2004,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,Yes,Some partnership,,,,1,,,Slightly negative,12-Oct,0,3-Jan,12-Oct,0,3-Jan,30%,No need for applications for this research type,0%,30%,No need for applications for this research type,0%,Somewhat important,Somewhat important,Not very important,Not very important,30%,,70%,,,,30%,60%,,10%,,,Decreased,Can't comment,Stayed the same,Somewhat important,,,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will stay the same,,"Physical Science (eg. math, physics, chemistry, computer science)",1991,Canada,Male
Complete,Ontario,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",10%,40%,50%,Yes,70%,30%,0%,,,1,,,,Slightly negative,No partnership,No,,,,,,,,,3-Jan,3-Jan,3-Jan,0,0,0,0%,0%,0%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Quite important,Not at all important,50%,50%,,,,,50%,50%,,,,,Decreased considerably,Decreased,Increased,Somewhat important,,,1,,judged based on commercially viable products and patents generated,Will increase slightly,Will stay the same,Will decrease slightly,Will increase considerably,i am seeking employment outside academia until the funding situation improves,"Physical Science (eg. math, physics, chemistry, computer science)",2014,Canada,Female
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,30%,40%,30%,No,,,,,,,,,,,Strong partnership,Yes,Some partnership,1,,,1,,,Very positive,6-Apr,3-Jan,0,3-Jan,3-Jan,0,70%,30%,30%,60%,20%,30%,Mandatory,Mandatory,Quite important,Quite important,10%,60%,30%,0%,0%,,10%,50%,40%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Stayed the same,Increased,Very important,1,,,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease considerably,,Engineering,,,Male
Complete,Manitoba,Senior academic researcher with >10 years of experience applying for research grants,50%,50%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,0,0,3-Jan,3-Jan,0,0%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Can't comment,Can't comment,Quite important,Quite important,100%,0%,0%,0%,0%,,0%,100%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Increased,Increased considerably,Somewhat important,,,1,,"Even given Canada's change of government, it remains unclear whether research priorities will change over the next few years.",Will stay the same,Will stay the same,Will stay the same,Will stay the same,,"Physical Science (eg. math, physics, chemistry, computer science)",1988,Canada,Male
Complete,Quebec,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,9-Jul,0,0,9-Jul,0,0,100%,No need for applications for this research type,0%,100%,No need for applications for this research type,0%,Somewhat important,Somewhat important,Not at all important,Not at all important,0%,100%,0%,0%,0%,,0%,100%,0%,0%,0%,,Decreased considerably,Can't comment,Increased considerably,Somewhat important,,1,1,,,Can't comment,Can't comment,Can't comment,Will decrease considerably,,Medicine and Life Science,1988,Canada,Male
Complete,Manitoba,Senior academic researcher with >10 years of experience applying for research grants,30%,40%,30%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,,3-Jan,3-Jan,,3-Jan,,,60%,0%,,100%,,Mandatory,Quite important,Quite important,Somewhat important,0%,90%,10%,0%,0%,,,100%,,,,,Decreased,Decreased,Increased considerably,Very important,,,1,,,Will increase slightly,Will stay the same,Will decrease slightly,Will stay the same,,Natural Science,,Canada,Male
Complete,,Senior academic researcher with >10 years of experience applying for research grants,10%,50%,40%,No,,,,,,,,,,,Strong partnership,Yes,Exclusive partnership,,,,,1,Fraud by industry partners,Very negative,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,100%,100%,100%,100%,100%,100%,Very important,Very important,Quite important,Quite important,0%,50%,50%,0%,0%,,10%,40%,50%,0%,0%,,Stayed the same,Stayed the same,Stayed the same,Not very important,,,,1,,Will stay the same,Will stay the same,Will stay the same,Will stay the same,,Engineering,2001,Canada,
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,0%,50%,50%,Yes,,100%,,,1,1,,,,Slightly positive,Some partnership,Yes,No partnership,,1,,1,,,Slightly negative,0,3-Jan,3-Jan,0,3-Jan,0,,60%,100%,No need for applications for this research type,100%,No need for applications for this research type,Very important,Can't comment,Quite important,Can't comment,,60%,40%,,,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Can't comment,Not very important,,,1,,,Will increase slightly,Will increase slightly,Will increase considerably,Will decrease slightly,,Engineering,2009,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,70%,30%,,Yes,80%,20%,,1,,1,,,,Slightly negative,Some partnership,Yes,No partnership,1,,,1,,,Slightly positive,6-Apr,3-Jan,,9-Jul,0,,80%,80%,,80%,,,Very important,Quite important,Quite important,,0%,90%,10%,0%,0%,,New researcher (no funding in these years),100%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Decreased considerably,Increased considerably,Can't comment,,1,1,,"I don't understand the wording in the first part of this question.The Harper government definitely markedly decreased funding to basic research and shifted some of the funding towards use-inspired and applied research. It is too soon to say much about the Trudeau government, but there has been some increase in funding of fundamental research. I think fundamental research should be very important to all our governments.",Can't comment,Can't comment,Can't comment,Will decrease considerably,"see comment to previous question. Here to I find the wording confusing. From the data I have seen, the interest of the next generation in pursuing careers in research has already been very negatively impacted; increased funding would certainly help to restore interest in research.","Physical Science (eg. math, physics, chemistry, computer science)",1992,Canada,Female
Incomplete,Alberta,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",20%,20%,60%,Yes,40%,30%,30%,1,1,1,,,,Neutral,Strong partnership,Yes,Some partnership,,1,,1,,,Very positive,0,0,3-Jan,3-Jan,3-Jan,3-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,16+,,,16+,,,40%,,,60%,,,Mandatory,Very important,Somewhat important,Somewhat important,10%,70%,0%,20%,0%,,10%,,80%,10%,,,Decreased considerably,Can't comment,Can't comment,Very important,,,1,,,Will increase slightly,Can't comment,Can't comment,Will increase slightly,,Medicine and Life Science,1996,Canada,Female
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,50%,50%,,Yes,90%,10%,,1,,1,,,,Very positive,Some partnership,Yes,Some partnership,,,,1,,,Slightly negative,3-Jan,0,6-Apr,6-Apr,0,3-Jan,100%,No need for applications for this research type,100%,100%,No need for applications for this research type,100%,Very important,Somewhat important,Quite important,Not very important,0%,80%,20%,0%,0%,,New researcher (no funding in these years),90%,10%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Can't comment,Increased considerably,Can't comment,,,1,,I can't comment on the priority of fundamental research by the current federal liberal government as it is too soon to tell what if any changes they will make. It was certainly a very low priority for Harper's conservatives.,Will increase slightly,Can't comment,Will decrease slightly,Can't comment,,Natural Science,1992,Canada,Female
Complete,British Columbia,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",80%,20%,,No,,,,,,,,,,,No partnership,Yes,Strong partnership,1,1,,,1,i worked for 2 years in non-gov conservation research - for those years my research was more use-inspired,Neutral,3-Jan,3-Jan,,0,0,0,50%,100%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Quite important,Not at all important,Somewhat important,Not at all important,40%,40%,0%,20%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Stayed the same,Stayed the same,Very important,,,1,,industry-partnerships are now much easier to fund in the NSERC system (including graduate scholarships),Will increase slightly,Will stay the same,Will stay the same,Can't comment,,Natural Science,2014,Canada,Female
Complete,New Brunswick,Senior academic researcher with >10 years of experience applying for research grants,80%,20%,0%,Yes,100%,0%,0%,,,1,,1,invitations to collaborate with more application-focused researchers,Slightly positive,No partnership,No,,,,,,,,,6-Apr,0,0,6-Apr,0,0,50%,No need for applications for this research type,No need for applications for this research type,50%,No need for applications for this research type,No need for applications for this research type,Quite important,Somewhat important,Somewhat important,Not very important,0%,100%,0%,0%,0%,,10%,90%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Increased,Increased considerably,Not at all important,,,1,,,Will decrease considerably,Will stay the same,Will increase considerably,Will decrease considerably,,Medicine and Life Science,2000,Canada,Male
Complete,Quebec,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,60%,40%,0%,Yes,70%,20%,0%,,,1,,,,Very negative,Some partnership,Yes,Some partnership,,,,1,,,Very negative,3-Jan,0,3-Jan,3-Jan,0,0,70%,No need for applications for this research type,100%,90%,No need for applications for this research type,No need for applications for this research type,Very important,Quite important,Quite important,Somewhat important,20%,80%,,,,,20%,80%,,,,,Decreased considerably,Increased,Increased considerably,Somewhat important,,1,1,,,Will stay the same,Will increase slightly,Will increase slightly,Will stay the same,,"Physical Science (eg. math, physics, chemistry, computer science)",2001,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,80%,20%,,No,,,,,,,,,,,No partnership,Yes,Some partnership,1,,,,,,Neutral,3-Jan,0,0,3-Jan,3-Jan,0,100%,,,100%,100%,,Somewhat important,Somewhat important,Somewhat important,Not very important,20%,80%,,,,,20%,70%,,10%,,,Decreased,Stayed the same,Can't comment,Very important,,,1,,,Will stay the same,Will stay the same,Will increase slightly,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1979,Canada,Female
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,80%,50%,70%,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,70%,70%,70%,70%,70%,No need for applications for this research type,Very important,Very important,Quite important,Quite important,10%,80%,10%,0%,0%,,10%,80%,0%,0%,0%,,Stayed the same,Stayed the same,Stayed the same,Very important,,,,1,,Will decrease slightly,Will decrease slightly,Will decrease slightly,Will decrease slightly,,Engineering,,,Male
Complete,Quebec,Senior academic researcher with >10 years of experience applying for research grants,90%,10%,,No,,,,,,,,,,,No partnership,No,,,,,,,,,6-Apr,,3-Jan,6-Apr,,0,90%,,100%,90%,,,Very important,Very important,Quite important,Quite important,,100%,,,,,,100%,,,,,Decreased,Increased,Increased,Not very important,,,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,,Natural Science,1985,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,40%,30%,30%,Yes,80%,10%,10%,1,,1,1,,,Slightly positive,Some partnership,Yes,No partnership,1,1,1,1,,,Slightly positive,3-Jan,3-Jan,3-Jan,6-Apr,0,0,0%,100%,100%,100%,100%,100%,Very important,Quite important,Quite important,Not very important,20%,40%,20%,20%,,,10%,90%,,,,,Decreased considerably,Can't comment,Can't comment,Somewhat important,,1,1,,,Will decrease slightly,Will decrease slightly,Will decrease slightly,Will decrease considerably,,Natural Science,1989,Canada,Male
Incomplete,Quebec,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,30%,40%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,90%,10%,10%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,6-Apr,0,3-Jan,6-Apr,0,3-Jan,50%,No need for applications for this research type,50%,50%,No need for applications for this research type,50%,Not at all important,Not at all important,Somewhat important,Somewhat important,10%,90%,0%,0%,0%,,10%,90%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Stayed the same,Can't comment,Stayed the same,Somewhat important,,1,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will increase slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1980,Canada,Male
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,20%,30%,50%,Can't comment (new researcher),,,,,,,,,,,Some partnership,Can't comment (new researcher),,,,,,,,,3-Jan,6-Apr,6-Apr,0,0,0,10%,30%,50%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Mandatory,Can't comment,Quite important,Can't comment,30%,30%,30%,10%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Increased,Increased considerably,Not very important,,1,1,,,Will decrease considerably,Will decrease slightly,Will increase considerably,Will decrease considerably,,"Physical Science (eg. math, physics, chemistry, computer science)",2011,Canada,Male
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,20%,40%,40%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,3-Jan,3-Jan,,3-Jan,3-Jan,3-Jan,0%,50%,No need for applications for this research type,100%,100%,100%,Very important,Mandatory,Quite important,Mandatory,,100%,,,,,,50%,50%,,,,Decreased considerably,Increased,Increased,Very important,,1,1,,,Will increase slightly,Will stay the same,Will stay the same,,unclear choices for answer,"Physical Science (eg. math, physics, chemistry, computer science)",1999,Canada,Male
Complete,New York,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,20%,30%,40%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,3-Jan,6-Apr,6-Apr,,,,50%,60%,70%,,,,Very important,,Quite important,,20%,60%,20%,,,,,,,,,,Decreased,Increased,Increased,Somewhat important,,,1,,"The Canadian government has a VERY near-sighted view of research that should be funded. The NSERC strategic priority areas are an example of an ill-thought process that prioritises the views of a few people to define priorities and then earmarks 80% of the funding to those areas, reserving maximum 20% of the funding for other topics (these other topics still must generally link to the priorities). To get these grants there must be companies or government agencies signed on, which seems like the government wanting to see partnerships as a 'legitimising' litmus test for grant applications. NSERC also offers curiosity based ""Discovery Grants"" but these are rather small awards. Genome Canada is another funding agency that is skewed heavily towards applied research. Many canadian funding sources demand that ""matching funding"" is in place - this seems like a mechanism whereby agencies don't have the budget (or, I'd say, don't have the courage) to fund a full project. It also offloads the decision making to others, i.e., if there's matching funding from someone else, the research must be a good idea.",Will increase slightly,Will stay the same,Will stay the same,Will stay the same,"Many are hopeful that the new Liberal government, elected in Fall 2015, will re-energize basic/fundamental/curiosity driven research through new mechanisms in the research funding landscape. Currently the funding is too strongly geared towards industry.",Natural Science,2004,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,0%,10%,90%,Yes,90%,0%,10%,,,1,,,,Very negative,Some partnership,Yes,No partnership,,,,1,,,Very negative,,,3-Jan,3-Jan,,3-Jan,No need for applications for this research type,No need for applications for this research type,50%,50%,No need for applications for this research type,50%,Mandatory,Very important,Quite important,Somewhat important,30%,70%,0%,0%,0%,,0%,90%,0%,10%,0%,,Decreased considerably,Increased,Increased considerably,Not very important,,1,1,,,Will decrease slightly,Will increase slightly,Will increase considerably,Will decrease considerably,"We are already seeing a marked disinterest in research of the form done via graduate school.  In parallel, there is a marked increase in interest in innovation in general.",Engineering,1984,Canada,Male
Incomplete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Japan,Senior academic researcher with >10 years of experience applying for research grants,50%,50%,0%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,6-Apr,6-Apr,0,6-Apr,9-Jul,0,10%,50%,No need for applications for this research type,100%,80%,No need for applications for this research type,Mandatory,Quite important,Mandatory,Somewhat important,0%,40%,0%,60%,0%,,New researcher (no funding in these years),90%,10%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Decreased,Can't comment,Not very important,,1,,,"I worked in Japan (as a faculty member of university) and am working in Canada (as a faculty member of university). In Japan, I had more than $500K/year research fund for more than 10 years. Nearly 100% of these funds came from Government. They did not require to collaborate with Industry and others, and complete fundamental researches were sufficiently funded. In Canada, in my impression, except NSERC Discovery (very small fund; in Japan, this scale fund is for very early stage young researchers. Professors and associate professors in the top ranked universities do not apply to such small scale fund.), we need to find the fund partner in industry, NPO or others. In my personal case, the industries do not like to support the fundamental research at all. Hence, at the present, my priority is to conduct used-inspired research. Certainly, this strengthens the competition power of industry, but this weakens the competition of hunting the jobs by graduate students in the world.",Will decrease considerably,Will increase slightly,Can't comment,Will decrease considerably,"If our students look for the jobs within Canada, I guess this may not be problem. However, as Prof. Obama said to the high school students of US some years ago, if our students have to compete with other students (from China, India, Middle East countries, etc.) in the same generation all over the world, the lack of fundamental and advance knowledge/skill/experience will be a critical weak point. ""Can speak English"" is not a competition power now.",Engineering,1993,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,10%,,90%,Yes,30%,,70%,,,1,,,,Very negative,Strong partnership,Yes,Some partnership,,,,1,,,Very negative,16+,,,9-Jul,,,100%,,80%,100%,,90%,Mandatory,Very important,Mandatory,Quite important,10%,50%,40%,,,,10%,60%,30%,,,,Can't comment,Can't comment,Increased considerably,Not very important,,,1,,,Will decrease slightly,Can't comment,Will increase considerably,Can't comment,,Engineering,1996,Canada,Male
Complete,British Columbia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,20%,70%,10%,No,,,,,,,,,,,Some partnership,Yes,No partnership,,,,1,,,Slightly positive,6-Apr,16+,0,3-Jan,6-Apr,0,10%,10%,0%,30%,30%,0%,Quite important,Somewhat important,Somewhat important,Not very important,30%,60%,0%,10%,0%,,20%,80%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Decreased considerably,Stayed the same,Very important,,,1,,New government in Canada has reversed long-term trends.,Will increase slightly,Will stay the same,Will stay the same,Will decrease considerably,,Medicine and Life Science,2001,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,12-Oct,,,6-Apr,,,20%,No need for applications for this research type,No need for applications for this research type,80%,No need for applications for this research type,No need for applications for this research type,Very important,Not at all important,Quite important,Not at all important,10%,90%,0%,0%,0%,,New researcher (no funding in these years),100%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Increased,Increased considerably,Not at all important,,,1,,,Will stay the same,Will stay the same,Will stay the same,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1997,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,,,6-Apr,,,100%,,,100%,,,Not at all important,Not at all important,Not at all important,Not at all important,0%,90%,0%,10%,0%,,New researcher (no funding in these years),90%,New researcher (no funding in these years),10%,0%,,Decreased,Increased,Increased considerably,Somewhat important,1,1,1,,,Will increase slightly,Will increase slightly,Will increase considerably,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1990,Canada,Male
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,20%,80%,,No,,,,,,,,,,,Some partnership,No,,,,,,,,,,6-Apr,,,9-Jul,,0%,20%,No need for applications for this research type,0%,0%,0%,Very important,Very important,Can't comment,Can't comment,30%,40%,,30%,,,50%,,,50%,,,Decreased considerably,Decreased considerably,Decreased considerably,Not very important,,,1,,,Will decrease slightly,Will decrease slightly,Will increase slightly,Will decrease considerably,,Medicine and Life Science,2003,Canada,Female
Complete,,Senior academic researcher with >10 years of experience applying for research grants,30%,30%,30%,Yes,80%,10%,10%,,,1,,,,Slightly negative,Strong partnership,Yes,Some partnership,,,,1,,,Slightly negative,3-Jan,6-Apr,,3-Jan,,6-Apr,90%,60%,,100%,,,Not at all important,Not at all important,Can't comment,Can't comment,,20%,60%,20%,,,,30%,70%,,,,Decreased,Increased,Increased,Somewhat important,,,,1,,Will increase slightly,Will stay the same,Will stay the same,Will decrease slightly,,Natural Science,1971,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,30%,30%,40%,Yes,40%,20%,40%,1,1,1,1,,,Very positive,Strong partnership,Yes,Some partnership,1,1,1,1,,,Very positive,9-Jul,6-Apr,13-15,12-Oct,3-Jan,9-Jul,60%,20%,30%,60%,20%,30%,Mandatory,Mandatory,Mandatory,Mandatory,10%,60%,30%,0%,0%,,10%,60%,30%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Decreased,Increased,Not very important,,,1,,,Will stay the same,Will increase slightly,Will increase slightly,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1978,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,,,3-Jan,,,No need for applications for this research type,,,80%,,,Not at all important,Not at all important,Not at all important,Not at all important,,100%,,,,,,50%,,50%,,,Stayed the same,Can't comment,Can't comment,Somewhat important,,1,1,,Note that my funding has been almost exclusively from NSERC--whose mandate is fundamental research (Discovery Grant program) but the funding for this program was eroded by new initiatives to fund more applied projects with partners in industry.,Can't comment,Can't comment,Can't comment,Can't comment,"If the new government of Canada increases funding, it could increase participation but impossible to know what will happen.",Natural Science,1997,Canada,Female
