"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","30%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","0","0","0","0","100%","50%","","","","","Somewhat important","Can't comment","Can't comment","Can't comment","80%","20%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased","Very important",NA,NA,1,NA,"Funding through CIHR and provincial MSFHR appears to have shifted toward clinical/translational applications at the expense of basic (fundamental) science. Fundamental science can still be funded through NSERC, but the budgets allowed by NSERC are insufficient to support a full research program when in vivo mouse modelling is involved. ","","","","","At this time, when CIHR is in such a state of flux, I won't comment on future trends. I'm hopeful that the new government will listen to the research community that is stating loudly that basic science has been undermined in recent years and this trend needs to be reversed. If this doesn't happen, and the government and CIHR continue with their mandate to preferentially fund applied research applications, the country will fall behind on a global scale.   Immunotherapies and gene editing techniques that receive widespread news coverage for their impact on human health have long histories in basic, fundamental, curiosity-driven research. Without the investments made years ago, the community would not have these powerful interventions in our hands today. ","Medicine and Life Science","2010","Canada","Female","","Canada"
"Complete","Michigan","Senior academic researcher with > 10 years of experience applying for research grants","60%","30%","10%","Yes","30%","50%","20%",NA,1,NA,NA,NA,"","Very positive","Strong partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","6-Apr","3-Jan","12-Oct","3-Jan","3-Jan","50%","60%","80%","60%","30%","30%","Somewhat important","Somewhat important","Somewhat important","Somewhat important","0%","60%","30%","10%","","","0%","70%","20%","0%","","","Decreased","Increased","Increased","Very important",NA,1,1,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly","","Medicine and Life Science","1980","Canada","Male","","USA"
"Complete","Nova Scotia","Senior academic researcher with > 10 years of experience applying for research grants","10%","60%","30%","Yes","40%","40%","20%",NA,1,NA,1,NA,"","Slightly positive","Some partnership","Yes","No partnership",NA,NA,1,NA,NA,"","Slightly negative","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","80%","100%","80%","100%","70%","70%","Very important","Very important","Can't comment","Can't comment","10%","70%","0%","20%","","","30%","70%","","","","","Decreased considerably","Decreased","Decreased","Somewhat important",NA,NA,1,NA,"One hopes that a recent change in government will shift this and indications are that this might be the case.","Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly","Changes will come too late for a group of potential researchers discouraged by the impact of the last several years' abysmal funding record (a consequence of policies of previous government).","Medicine and Life Science","1996","Canada","Female","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","10%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","0","0","0","0","50%","50%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Mandatory","Can't comment","20%","80%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably","","Medicine and Life Science","2010","Canada","Male","","Canada"
"Complete","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","10%","90%","Yes","0%","30%","70%",NA,1,NA,NA,NA,"","Neutral","No partnership","Yes","Exclusive partnership",NA,1,NA,NA,NA,"","Slightly positive","0","0","3-Jan","0","0","3-Jan","0%","0%","0%","0%","0%","0%","Can't comment","Can't comment","Can't comment","Can't comment","100%","0%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"","Can't comment","Can't comment","Can't comment","Can't comment","","Social Science / Humanities","2009","Canada","Female","","Canada"
"Complete","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","30%","70%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","10%","","10%","80%","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will increase considerably","Will increase considerably","I don't know that funding availability itself will influence the likelihood of new incoming researchers. Rather, the general recognition of and change in attitudes towards human impacts seems to be inspiring new researchers. That being the case, funding availability may determine how many of these new researchers are able to make a career of it, as well as the types of research they are able to do. ","Interdisciplinary Science","2014","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","10%","10%","90%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","0","0","6-Apr","0","0","0","No need for applications for this research type","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Quite important","Not at all important","Somewhat important","Not at all important","0%","100%","","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Stayed the same","Stayed the same","Stayed the same","Somewhat important",NA,1,NA,NA,"","Can't comment","Can't comment","Can't comment","Can't comment","","Engineering","","Canada","Male","","Canada"
"Complete","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","0%","100%","0%","Yes","","","100%",NA,1,1,NA,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","0","3-Jan","0","0","0","0","","100%","","","","100%","Can't comment","Can't comment","Can't comment","Can't comment","","100%","","","","","50%","50%","","","","","Can't comment","Can't comment","Can't comment","Very important",1,1,1,NA,"","Can't comment","Can't comment","Can't comment","Will increase considerably","","Natural Science","2011","Canada","Male","","Canada"
"Complete","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","100%","","","100%","","","Somewhat important","Somewhat important","Not very important","Not very important","","100%","","","","","","100%","","","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Can't comment","Can't comment","Can't comment","","","Natural Science","2008","Canada","Male","","Canada"
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","20%","60%","20%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,1,NA,NA,"","Neutral","","6-Apr","","","3-Jan","","","30%","","","60%","","Quite important","Quite important","Somewhat important","Not very important","","100%","","","","","","100%","","","","","Can't comment","Can't comment","Can't comment","Very important",NA,NA,NA,1,"","Will stay the same","Will stay the same","Will stay the same","Will stay the same","","Other","2003","Canada","Male","Your categorizations are problematic. I am involved in creative work which my government classifies as research/creation. It is clearly an important fourth category.Through this avenue I am one of the top funded faculty in my university.","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","30%","40%","30%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","0","0","3-Jan","3-Jan","3-Jan","3-Jan","0%","0%","100%","100%","100%","100%","Very important","Very important","Quite important","Quite important","20%","40%","40%","0%","0%","","30%","40%","40%","0%","0%","","Decreased","Decreased","Decreased","Somewhat important",NA,NA,NA,1,"Under previous Canadian government (Steven Harper conservatives) there was very little interest in fundamental research, or science in general. The new government (Justin Trudeau liberals) appears to be more supportive, but only time will tell. ","Will increase slightly","Will increase slightly","Will increase slightly","Can't comment","","Social Science / Humanities","1998","Canada","Male","I think your three categories are too simplistic. Any applied research project I have been involved in has also provided me with opportunities to investigate fundamental problems as well. These activities are not mutually exclusive.   Also much fundamental science funding (at least in developed western nations) is distributed to very large groups working on large projects. I believe that with few exceptions these investments are inefficient in terms of the contributions to fundamentally new knowledge produced. Small groups and individuals are far more efficient and productive in terms of using grant money on ways that translate into important intellectual contributions. ","Canada"
"Complete","Newfoundland and Labrador","Senior academic researcher with > 10 years of experience applying for research grants","80%","","20%","Yes","100%","","",1,NA,NA,1,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","3-Jan","3-Jan","","3-Jan","100%","","100%","100%","","100%","Not at all important","Not at all important","Not at all important","Not at all important","10%","90%","0%","0%","0%","","10%","90%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Stayed the same","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Will stay the same","Can't comment","Will increase slightly","Will stay the same","","Natural Science","1990","Canada","Male","","Canada"
"Complete","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","10%","60%","30%","Yes","40%","50%","10%",NA,NA,1,NA,NA,"","Very negative","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","0%","","","","50%","50%","Mandatory","Somewhat important","Quite important","Not very important","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Stayed the same","Increased considerably","Not very important",NA,NA,1,NA,"","Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","I did not complete a PhD","Canada","Male","",""
"Complete","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","20%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","","3-Jan","0","0","30%","100%","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Can't comment","Can't comment","30%","70%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly","","Medicine and Life Science","2010","Canada","Female","",""
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","0%","50%","50%","Yes","0%","30%","70%",NA,NA,NA,NA,1,"Experience and involvement in communities of use.","Neutral","Some partnership","Yes","Strong partnership",NA,NA,1,NA,NA,"","Slightly negative","6-Apr","6-Apr","6-Apr","9-Jul","9-Jul","9-Jul","0%","30%","50%","0%","30%","60%","Somewhat important","Quite important","Somewhat important","Somewhat important","50%","40%","10%","0%","0%","","40%","60%","60%","0%","0%","","Decreased","Decreased considerably","Decreased considerably","Somewhat important",NA,1,NA,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1998","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","70%","30%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","90%","","","","10%","","Somewhat important","Not at all important","Not at all important","Not at all important","10%","90%","","","","","10%","","","","90%","","Decreased considerably","Decreased considerably","Can't comment","Not very important",NA,NA,1,NA,"","Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1992","Canada","Female","Would appreciate more evenly spread funding across areas and researchers with more flexibility.","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","40%","40%","20%","Yes","60%","40%","0%",1,NA,1,1,1,"mentoring - to provide applied career-relevant opportunities to grad students","Neutral","Some partnership","Yes","No partnership",NA,NA,NA,1,1,"mentoring students with applied career goals","Slightly positive","3-Jan","6-Apr","6-Apr","6-Apr","3-Jan","","60%","80%","70%","90%","70%","No need for applications for this research type","Mandatory","Quite important","Quite important","Not very important","0%","60%","20%","20%","0%","","20%","80%","","","","","Decreased","Stayed the same","Increased","Can't comment",NA,1,1,NA,"Research with very specific applied foci, industry partners, etc seemed much more supported under the Harper gov't. Importance of basic research was under-recognized and underfunded.","Will increase slightly","Will increase slightly","Will decrease slightly","Will increase considerably","I think predicting what ""will"" happen is premature. I HOPE that the current government recognizes the importance of a balance between basic research (which is essential for attracting and retaining the brightest, most creative minds and which ultimately leads to essential innovation and social progress in civil society) AND research with more applied or use-focus (which is also important, but often limited in its ability to contribute to new discovery). ","Social Science / Humanities","2000","Canada","Female","","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","","6-Apr","","","80%","0%","","80%","","","Somewhat important","Not at all important","Somewhat important","Not very important","","80%","","20%","","","","80%","","20%","","","Decreased","Increased","Increased","Somewhat important",NA,1,1,NA,"","Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably","","Natural Science","2002","Canada","Male","",""
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","80%","","20%","Yes","60%","","40%",1,NA,1,NA,NA,"","Slightly positive","Some partnership","Yes","Strong partnership",1,NA,NA,1,NA,"","Slightly positive","6-Apr","","3-Jan","6-Apr","","6-Apr","90%","","60%","90%","","100%","Very important","Quite important","Quite important","Quite important","10%","70%","20%","","","Government = NSERC","10%","50%","40%","","","","Decreased","","Decreased","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase considerably","Will stay the same","Will decrease slightly","","Natural Science","1984","Canada","Male","","Canada"
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","80%","10%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","70%","","","70%","","","Very important","Very important","Not at all important","Not at all important","10%","90%","0%","0%","0%","","","","","","","","Decreased","Increased","Increased","Very important",NA,1,1,NA,"","Will decrease slightly","Will increase considerably","Will increase slightly","Will increase considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1991","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","90%","20%","Yes","80%","50%","0%",1,NA,1,NA,NA,"","Neutral","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","0","0","0","0","60%","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Quite important","Can't comment","10%","90%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased considerably","Very important",NA,NA,1,NA,"","Will stay the same","Will decrease slightly","Will decrease slightly","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","2009","Canada","Female","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Neutral","","","","","","","","","","","","","","","","","0%","100%","0%","0%","0%","","10%","80%","0%","10%","0%","","Decreased considerably","Decreased","Decreased","Not very important",NA,NA,1,NA,"The government has recently changed, so my hope is that this previous viewpoint will also change","Will increase slightly","Will stay the same","Will stay the same","Will increase slightly","IF funding was considerably increased, the I do think this would increase the likelihood of the next generation of scientists choosing to pursue a career in research ","Medicine and Life Science","1983","Canada","Female","","Canada"
"Complete","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","10%","50%","40%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","6-Apr","0","0","0","50%","50%","50%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Somewhat important","Can't comment","40%","50%","0%","10%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","I suspect ""the next generation"" won't carefully consider such things when they make their career choices, and that this has been true of nearly all past generations too.","Physical Science (eg. math, physics, chemistry, computer science)","2011","Canada","Female","""Success rates"" can go up while the overall funding level declines, and the resulting grant sums can be paltry.  This is ""success"", but not the type that many envisage.","Canada"
"Complete","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","30%","70%","0%","Yes","40%","10%","50%",1,NA,1,NA,NA,"","","No partnership","Yes","Some partnership",1,1,NA,NA,NA,"","Slightly negative","6-Apr","9-Jul","0","3-Jan","3-Jan","0","70%","20%","No need for applications for this research type","100%","100%","No need for applications for this research type","Very important","Somewhat important","Not very important","Not very important","10%","50%","0%","30%","0%","","0%","70%","New researcher (no funding in these years)","30%","New researcher (no funding in these years)","","Decreased considerably","Decreased","Stayed the same","Somewhat important",NA,1,1,NA,"","Will stay the same","Will stay the same","Will stay the same","Will decrease slightly","","Medicine and Life Science","2008","Canada","Male","","Canada"
"Complete","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","70%","0%","30%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","0%","0%","0%","0%","0%","0%","Very important","Can't comment","Can't comment","Can't comment","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Not very important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will increase slightly","Can't comment","","Natural Science","2012","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","0%","20%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","3-Jan","3-Jan","0","3-Jan","10%","No need for applications for this research type","0%","10%","No need for applications for this research type","0%","Somewhat important","Somewhat important","Not at all important","Not at all important","20%","80%","0%","0%","0%","","90%","10%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Decreased considerably","Not very important",NA,NA,1,NA,"This is dangerous, since without a good solid fundamental research base, applied research cannot work.","Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably","","Medicine and Life Science","2008","Canada","Female","Please make funding more available","Canada"
"Complete","Korea","Senior academic researcher with > 10 years of experience applying for research grants","90%","0%","10%","Yes","100%","0%","0%",1,NA,NA,NA,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Somewhat important","Not very important","0%","100%","0%","0%","0%","","30%","70%","0%","0%","0%","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"","Can't comment","Can't comment","","Can't comment","","Physical Science (eg. math, physics, chemistry, computer science)","2003","Canada","Male","","Korea"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","50%","40%","10%","Yes","80%","20%","0%",1,1,NA,1,NA,"","Very positive","Some partnership","Yes","Some partnership",NA,NA,1,1,NA,"","Neutral","12-Oct","9-Jul","3-Jan","3-Jan","3-Jan","3-Jan","70%","50%","100%","100%","100%","100%","Very important","Very important","Quite important","Somewhat important","10%","70%","0%","20%","0%","","New researcher (no funding in these years)","70%","New researcher (no funding in these years)","30%","New researcher (no funding in these years)","","Decreased","Decreased","Decreased","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","Natural Science","2002","Canada","Male","","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","50%","30%","20%","Yes","50%","50%","0%",NA,NA,1,NA,NA,"","Neutral","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","3-Jan","","20%","30%","No need for applications for this research type","20%","40%","No need for applications for this research type","Very important","Somewhat important","Can't comment","Can't comment","20%","70%","","","10%","me","0%","70%","","","30%","me","Decreased considerably","Decreased","Increased","Not very important",NA,NA,1,NA,"In my rathr long career, there has been 1 senior minister who understood the relationship between basic and translational research, and therefore who funds each type. That was Paul Martin. I wish I could be optimistic about the current government. However, I am not because I have yet to see any thought deeper than a selfie.","Will decrease considerably","Will decrease slightly","Can't comment","Will decrease considerably","A smaller fraction of PhD graduates are gaining research appointments today than when I graduated 30 years ago. To a large etent that is a consequence of the drive by successive governments in my country to push HQPs into wealth-generating areas of the economy (ie to increase high value-added components of teh national economy). ","Medicine and Life Science","1985","Canada","","",""
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","10%","70%","20%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","0","3-Jan","6-Apr","0","90%","80%","No need for applications for this research type","90%","80%","No need for applications for this research type","Quite important","Quite important","Mandatory","Quite important","40%","60%","0%","0%","0%","","20%","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will increase slightly","","Physical Science (eg. math, physics, chemistry, computer science)","1996","Canada","Male","",""
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","0%","80%","20%","Yes","0%","90%","10%",1,NA,1,1,NA,"","Very negative","No partnership","Yes","Some partnership",1,NA,1,1,NA,"","Slightly positive","","","","","6-Apr","0","No need for applications for this research type","80%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","Very important","","Quite important","Quite important","0%","90%","0%","10%","","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Decreased","Increased considerably","Somewhat important",NA,NA,1,NA,"The previous government had a strong ideological drive behind its policies and dismantled large areas of research facilities on that basis (research on environment and climate change) ","Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly","The new government has been in place for less than a year. They have made promises, but there has not much time to evaluate what was done and where it is going. ","Interdisciplinary Science","1981","Canada","Female","","Canada"
"Complete","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","30%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","70%","","","70%","","","Very important","Very important","Not at all important","Not at all important","10%","90%","","","","","10%","90%","","","","","Decreased","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Can't comment","Can't comment","Can't comment","Can't comment","","Physical Science (eg. math, physics, chemistry, computer science)","2008","Canada","Male","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","10%","40%","50%","Yes","60%","10%","30%",1,1,1,NA,NA,"","Very positive","Strong partnership","Yes","Some partnership",1,1,NA,1,NA,"","Neutral","16+","16+","16+","16+","6-Apr","6-Apr","20%","50%","40%","30%","40%","40%","Very important","Somewhat important","Quite important","Somewhat important","20%","30%","40%","","10%","Foreign government","20%","50%","20%","10%","","","Decreased considerably","Stayed the same","Decreased","Somewhat important",NA,NA,1,NA,"We need balance, so an increase in use-inspired and applied research is OK, to a point.  However, the previous government of Canada was not very interested in and did not understand the importance of fundamental research. Hopefully this attitude is out the door with the new government, and that all research is recognized as important.","Will increase slightly","Will decrease slightly","Will decrease slightly","Will stay the same","I think it will take a long time to erase the pessimism that younger colleagues have for careers in research, particularly in academia or government.","Medicine and Life Science","1986","Canada","Female","Interesting survey, thanks for undertaking this research.","Canada"
"Complete","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","30%","50%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","6-Apr","0","0","0","50%","70%","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Mandatory","Can't comment","10%","60%","30%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Stayed the same","Not at all important",NA,NA,1,NA,"","Can't comment","Can't comment","Can't comment","Will increase slightly","","Engineering","2008","Canada","Male","It would be nice if there was a similar distribution of funds among faculty/researchers. It appears that the current trends in funding agencies it to fund only the 1% of researchers with large sums of money while all other researchers, especially new researchers, are left struggling without any funds.  Also, if you want to increase the number of local students to be interest in research. Maybe some of the funding that is currently going to professors should be used to strengthen student scholarships. Let the students decide the professors they want to work with. Also, it would be nice for professors to only have to ask for grants to pay for equipment and not students.",""
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","40%","40%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","9-Jul","","","","0%","20%","30%","","","","Mandatory","Can't comment","Mandatory","Can't comment","10%","90%","0%","0%","0%","","","","","","","","Decreased considerably","Decreased","Increased","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will stay the same","","Engineering","2005","Canada","Male","","Canada"
