"Country","Country_work","nation","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10","id"
"Korea","Canada","Canada","Male","Korea","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",1562
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",1563
"","Canada","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",1564
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",1565
"Australia","Israel","Israel","Male","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Quite important",1566
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","",1567
"Canada","Canada","Canada","Male","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",1568
"Canada","Canada","Canada","Female","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",1569
"","Canada","Canada","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Mandatory","Can't comment",1570
"Canada","Canada","Canada","Male","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Mandatory","Can't comment",1571
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Not at all important","Very important",1572
"Latvia","Canada","Canada","Male","Latvia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Mandatory",1573
"Canada","Canada","Canada","Female","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Somewhat important","Not at all important",1574
"Canada","Canada","Canada","Female","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Very important",1575
"Switzerland","Canada","Canada","Male","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",1576
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",1577
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Can't comment","Can't comment",1578
"Canada","Canada","Canada","Male","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Mandatory",1579
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",1580
"Germany","Germany","Germany","Male","Germany","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",1581
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",1582
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Quite important",1583
"Germany","Germany","Germany","Male","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Somewhat important",1584
"Germany","Canada","Canada","Male","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Somewhat important",1585
"Germany","Germany","Germany","Male","Germany","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1586
"United Kingdom","Canada","Canada","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",1587
"Belgium","Canada","Canada","Female","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Can't comment",1588
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",1589
"Israel","Israel","Israel","Female","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Quite important","Somewhat important",1590
"Denmark","Canada","Canada","Male","Denmark","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Quite important",1591
"United States","Canada","Canada","Male","Florida","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","Mandatory","Quite important",1592
"Canada","Canada","Canada","Male","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","",1593
"Netherlands","Canada","Canada","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",1594
"Canada","Canada","Canada","Male","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",1595
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1596
"Canada","Canada","Canada","Male","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Quite important","Can't comment",1597
"","Canada","Canada","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Can't comment",1598
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Mandatory",1599
"Canada","Canada","Canada","Male","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Quite important",1600
"Canada","Canada","Canada","Female","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Mandatory","Very important",1601
"Canada","Canada","Canada","Male","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","",1602
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1603
"Canada","Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Mandatory",1604
"Canada","Canada","Canada","Male","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","Very important","Quite important",1605
"Canada","Canada","Canada","Male","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Quite important",1606
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",1607
"Canada","Canada","Canada","Male","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Not at all important",1608
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1609
"United States","United States","United States","Female","Maryland","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Somewhat important",1610
"Canada","Canada","Canada","Male","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Mandatory",1611
"Switzerland","Canada","Canada","Male","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Mandatory",1612
"Canada","Canada","Canada","Female","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Quite important",1613
"Canada","Canada","Canada","Male","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Somewhat important",1614
"United States","United States","United States","Female","Texas","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1615
"United States","United States","United States","Female","New York","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Mandatory",1616
"Canada","Canada","Canada","Male","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Mandatory","Can't comment",1617
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",1618
"","Canada","Canada","Female","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",1619
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",1620
"United States","United States","United States","Male","Pennsylvania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Not at all important",1621
"Belgium","Belgium","Belgium","Male","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Can't comment","Can't comment",1622
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","",1623
"United States","United States","United States","Male","Texas","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Somewhat important","Not at all important",1624
"United States","United States","United States","Male","Illinois","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Engineering","Mandatory","Mandatory",1625
"Finland","Finland","Finland","Female","Finland","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Not at all important",1626
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Very important",1627
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Very important",1628
"Canada","Canada","Canada","Male","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",1629
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","",1630
"Canada","Canada","Canada","Male","New Brunswick","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","Quite important","Somewhat important",1631
"Canada","United Kingdom","United Kingdom","Female","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",1632
"Netherlands","Finland","Finland","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Somewhat important",1633
"","United States","United States","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",1634
"United States","United States","United States","Female","Oregon","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Very important",1635
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",1636
"Canada","Canada","Canada","Female","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",1637
"Belgium","Belgium","Belgium","Male","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",1638
"Canada","Canada","Canada","Female","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",1639
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",1640
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Quite important",1641
"Canada","Canada","Canada","Male","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Somewhat important",1642
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Quite important",1643
"United States","United States","United States","Male","Ohio","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Very important",1644
"Canada","Canada","Canada","Male","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","",1645
"Canada","Canada","Canada","Male","Yukon Territory","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Quite important",1646
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Mandatory","Quite important",1647
"Canada","Canada","Canada","Female","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Quite important",1648
"United States","United States","United States","Male","New York","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Mandatory",1649
"United States","United States","United States","Male","Virginia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Mandatory","Can't comment",1650
"","United States","United States","Male","","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Somewhat important",1651
"United States","United States","United States","Male","Minnesota","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","Very important","Very important",1652
"Canada","Canada","Canada","Male","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Very important","",1653
"United States","United States","United States","Female","Tennessee","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Can't comment",1654
"Canada","Canada","Canada","Male","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",1655
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",1656
"Belgium","United States","United States","Male","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Other","Mandatory","Somewhat important",1657
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Very important",1658
"Canada","Canada","Canada","Male","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","Can't comment",1659
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Not at all important",1660
"Israel","Israel","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Not at all important","Not at all important",1661
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Very important",1662
"","Canada","Canada","Female","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",1663
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",1664
"Canada","Canada","Canada","Female","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Very important","Very important",1665
"United States","United States","United States","Male","Louisiana","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Somewhat important",1666
"United States","United States","United States","Female","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",1667
"United States","United States","United States","Female","California","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Mandatory",1668
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1669
"United States","United States","United States","Female","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1670
"Canada","Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Quite important",1671
"United States","United States","United States","Male","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Somewhat important",1672
"United States","United States","United States","Female","New York","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Quite important",1673
"Canada","Canada","Canada","Female","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Somewhat important",1674
"Greece","Canada","Canada","Male","Greece","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Somewhat important",1675
"Canada","Canada","Canada","Female","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Somewhat important",1676
"Canada","Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",1677
"United States","United States","United States","Female","Maryland","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Quite important","Not at all important",1678
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Somewhat important","Quite important",1679
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Very important",1680
"","Canada","Canada","Female","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Not at all important","",1681
"Canada","Canada","Canada","Female","Manitoba","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Can't comment",1682
"Canada","Canada","Canada","Female","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Can't comment",1683
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",1684
"","Canada","Canada","Male","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Social Science / Humanities","Very important","Very important",1685
"Germany","Germany","Germany","Male","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Can't comment",1686
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Very important",1687
"Canada","United States","United States","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Somewhat important",1688
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",1689
"Nigeria","Nigeria","Nigeria","Male","Nigeria","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",1690
"Mexico","Mexico","Mexico","Female","Mexico","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Very important","Can't comment",1691
"Canada","Canada","Canada","Male","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quite important","Quite important",1692
"United States","United States","United States","Male","Hawaii","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",1693
"Canada","Canada","Canada","Male","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","","Very important",1694
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Very important",1695
"New Zealand","New Zealand","New Zealand","Male","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Can't comment",1696
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",1697
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",1698
"","United States","United States","Male","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",1699
"Canada","Canada","Canada","Male","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",1700
"Canada","Canada","Canada","Male","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Can't comment",1701
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Very important",1702
"Nepal","Nepal","Nepal","Male","Nepal","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","Quite important","Somewhat important",1703
"Sweden","Sweden","Sweden","Male","Sweden","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Somewhat important","",1704
"New Zealand","New Zealand","New Zealand","Male","New Zealand","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Quite important","Can't comment",1705
"Cyprus","Cyprus","Cyprus","Male","Cyprus","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","Can't comment",1706
"Italy","France","France","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Somewhat important",1707
"Austria","Austria","Austria","Male","Austria","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",1708
"United States","United States","United States","Female","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",1709
"United States","United States","United States","Male","California","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","Can't comment","Can't comment",1710
"Australia","Australia","Australia","Male","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Can't comment","Can't comment",1711
"Germany","Germany","Germany","Male","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Not at all important","Not at all important",1712
"","United States","United States","Female","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","Very important","Quite important",1713
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Mandatory",1714
"Denmark","Denmark","Denmark","Female","Denmark","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","",1715
"Australia","Australia","Australia","Male","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",1716
"Canada","Canada","Canada","Male","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",1717
"France","France","France","Female","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Not at all important",1718
"United States","United States","United States","Female","Oklahoma","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",1719
"United States","Canada","Canada","Male","Vermont","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Can't comment","Can't comment",1720
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",1721
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Can't comment","Can't comment",1722
"United States","United States","United States","Male","Ohio","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Mandatory",1723
"Canada","Canada","Canada","Female","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Quite important",1724
"Italy","Portugal","Portugal","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Not at all important","Not at all important",1725
"Sweden","Canada","Canada","Female","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Very important",1726
"Canada","Canada","Canada","Female","Nova Scotia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","Very important","Quite important",1727
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",1728
"Canada","Canada","Canada","Male","Alberta","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","Mandatory","Mandatory",1729
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",1730
"Canada","Canada","Canada","Female","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Mandatory","Very important",1731
"Israel","Israel","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Not at all important","Not at all important",1732
"Canada","Canada","Canada","Female","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Somewhat important",1733
"Canada","Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",1734
"United States","United States","United States","Male","Indiana","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",1735
"Canada","Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Quite important",1736
"United States","United States","United States","Female","Maine","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Very important","Very important",1737
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Quite important",1738
"Canada","Canada","Canada","Male","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",1739
"United States","United States","United States","Male","New York","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Very important",1740
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Mandatory",1741
"Canada","Canada","Canada","Male","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Can't comment",1742
"Canada","Canada","Canada","Male","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Somewhat important","Can't comment",1743
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",1744
"United States","","United States","Male","Maryland","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Not at all important",1745
"France","France","France","Male","France","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Somewhat important",1746
"Finland","Finland","Finland","Female","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Somewhat important","Somewhat important",1747
"Switzerland","United States","United States","Female","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Can't comment","Can't comment",1748
"Australia","Australia","Australia","Male","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Can't comment",1749
"Germany","Benin","Germany","Male","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Quite important","Somewhat important",1750
"Canada","Canada","Canada","Male","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",1751
"Canada","Canada","Canada","Female","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",1752
"Canada","Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Somewhat important",1753
"United States","United States","United States","Male","Colorado","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",1754
"","Canada","Canada","Male","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",1755
"","Canada","Canada","Female","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",1756
