"Country","Country_work","gender","nation","Location","what_participant_group","field_research","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","id"
"United States","United States","Male","United States","Hawaii","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","16+","0","16+","7-9","0","16+","1693"
"Canada","Canada","Male","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","0","1-3","0","1-3","1-3","0","1694"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","4-6","1-3","1-3","1-3","0","1695"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","1-3","1-3","1-3","0","0","1696"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","4-6","0","0","1697"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","1-3","4-6","0","1-3","1-3","1698"
"","United States","Male","United States","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","1-3","0","0","1-3","0","1699"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","0","0","1-3","0","0","1700"
"Canada","Canada","Male","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","0","0","0","1701"
"India","India","Male","India","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","7-9","0","1-3","0","1702"
"Nepal","Nepal","Male","Nepal","Nepal","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","1-3","4-6","10-12","0","1-3","4-6","1703"
"Sweden","Sweden","Male","Sweden","Sweden","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","4-6","0","0","0","0","0","1704"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","1-3","0","0","0","0","0","1705"
"Cyprus","Cyprus","Male","Cyprus","Cyprus","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","0","1-3","1-3","0","0","0","1706"
"Italy","France","Male","France","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","10-12","0","0","7-9","0","0","1707"
"Austria","Austria","Male","Austria","Austria","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","1-3","1708"
"United States","United States","Female","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","10-12","1-3","4-6","1-3","0","1709"
"United States","United States","Male","United States","California","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","0","0","0","0","0","0","1710"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","7-9","0","0","1-3","0","0","1711"
"Germany","Germany","Male","Germany","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","7-9","0","0","1-3","0","0","1712"
"","United States","Female","United States","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","4-6","1-3","1-3","7-9","0","0","1713"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","1714"
"Denmark","Denmark","Female","Denmark","Denmark","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","1-3","4-6","0","0","1-3","1715"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","0","4-6","0","0","1716"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","0","0","1-3","0","0","1717"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","0","0","1-3","0","0","1718"
"United States","United States","Female","United States","Oklahoma","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","7-9","7-9","4-6","1-3","1-3","1719"
"United States","Canada","Male","Canada","Vermont","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","0","7-9","0","0","1720"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","0","0","1721"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","4-6","0","0","1722"
"United States","United States","Male","United States","Ohio","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","13-15","1-3","1-3","1-3","0","1723"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","4-6","4-6","1-3","0","1724"
"Italy","Portugal","Male","Portugal","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","1-3","0","0","0","0","0","1725"
"Sweden","Canada","Female","Canada","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","1-3","1-3","0","1-3","0","1-3","1726"
"Canada","Canada","Female","Canada","Nova Scotia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","0","1-3","1-3","0","0","1-3","1727"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","4-6","4-6","0","1728"
"Canada","Canada","Male","Canada","Alberta","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","1-3","1-3","1-3","1-3","1-3","1-3","1729"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","4-6","4-6","0","1-3","1730"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","4-6","1-3","1-3","4-6","0","1731"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","13-15","0","0","1-3","0","0","1732"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","1-3","1-3","1-3","0","1-3","1733"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","0","0","7-9","0","0","1734"
"United States","United States","Male","United States","Indiana","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","4-6","1-3","0","4-6","1-3","1735"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","4-6","4-6","1-3","4-6","1-3","1736"
"United States","United States","Female","United States","Maine","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","0","7-9","0","0","7-9","0","1737"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","1-3","1-3","1-3","0","0","1738"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","1-3","0","4-6","1-3","0","1739"
"United States","United States","Male","United States","New York","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","16+","16+","16+","16+","16+","16+","1740"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","7-9","1-3","0","1-3","1741"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","1-3","0","1-3","1-3","0","1742"
"Canada","Canada","Male","Canada","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","0","0","0","0","1743"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","0","7-9","0","0","1744"
"United States","","Male","United States","Maryland","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","4-6","7-9","13-15","1-3","0","1745"
"France","France","Male","France","France","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","0","4-6","0","0","1746"
"Finland","Finland","Female","Finland","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","1-3","1-3","0","0","1-3","0","1747"
"Switzerland","United States","Female","United States","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","0","0","0","0","1748"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","0","0","1-3","0","0","0","1749"
"Germany","Benin","Male","Germany","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","1-3","1-3","4-6","0","0","1-3","1750"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","1-3","0","1-3","0","1751"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","7-9","0","1-3","4-6","0","1752"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","16+","1-3","1-3","7-9","0","1-3","1753"
"United States","United States","Male","United States","Colorado","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","16+","16+","0","16+","16+","1754"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","0","0","1755"
"","Canada","Female","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","4-6","0","1-3","1-3","0","1756"
"","United States","Male","United States","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","4-6","1-3","4-6","4-6","1757"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","10-12","4-6","7-9","1-3","0","1758"
"Germany","Germany","Female","Germany","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","0","0","7-9","0","0","1759"
"United States","United States","Male","United States","Michigan","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","4-6","1-3","1-3","4-6","1-3","1760"
"United States","United States","Female","United States","Colorado","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","4-6","4-6","1-3","1-3","0","1761"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","4-6","4-6","0","0","1762"
"Ethiopia","Ethiopia","Male","Ethiopia","Ethiopia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","1-3","4-6","1-3","1-3","0","0","1763"
"","United States","Female","United States","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","0","7-9","4-6","4-6","4-6","0","1764"
"Lesotho","Lesotho","Male","Lesotho","Lesotho","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","0","4-6","1-3","1-3","1-3","1-3","1765"
"Canada","Canada","","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","0","1-3","1-3","0","0","0","1766"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","1-3","0","4-6","0","0","0","1767"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","1768"
"Canada","Canada","Male","Canada","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","1-3","7-9","0","0","1769"
"Indonesia","Indonesia","Female","Indonesia","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","1-3","0","4-6","1-3","0","1770"
"Bangladesh","Bangladesh","Female","Bangladesh","Bangladesh","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","4-6","0","1-3","1-3","1771"
"Vietnam","Vietnam","Female","Vietnam","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","10-12","0","0","7-9","0","1-3","1772"
"Nicaragua","Nicaragua","Male","Nicaragua","Nicaragua","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","1-3","0","1-3","1-3","0","4-6","1773"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","1-3","1-3","4-6","1-3","1774"
"India","India","Female","India","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","1-3","0","0","0","0","1775"
"Philippines","Philippines","Female","Philippines","Philippines","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","1-3","1-3","0","4-6","1-3","1776"
"Kenya","Kenya","Male","Kenya","Kenya","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","1-3","0","1-3","1-3","0","1777"
"Russian Federation","Russia","Female","Russia","Russian Federation","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","0","0","0","0","0","1778"
"India","India","Male","India","India","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","1779"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","1780"
"Japan","Bangladesh","Male","Japan","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","0","1-3","4-6","0","0","1-3","1781"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","1-3","1-3","7-9","0","0","0","1782"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","1-3","1-3","1783"
"Colombia","Colombia","Male","Colombia","Colombia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","1-3","0","0","0","0","0","1784"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","0","0","1785"
"Canada","Canada","Male","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","4-6","4-6","0","0","0","1786"
"Nigeria","Nigeria","Female","Nigeria","Nigeria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","0","0","4-6","0","0","1-3","1787"
"United States","United States","Male","United States","Nevada","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","7-9","4-6","0","1-3","1-3","1788"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","0","4-6","0","0","4-6","1789"
"Mozambique","Mozambique","Male","Mozambique","Mozambique","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","1-3","1-3","1-3","0","0","0","1790"
"Malaysia","Malaysia","Male","Malaysia","Malaysia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","10-12","10-12","1-3","1-3","1791"
"Taiwan","Taiwan","Male","Taiwan","Taiwan","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","0","1-3","0","0","1-3","1-3","1792"
"Dominican Republic","Dominican Republic","Male","Dominican Republic","Dominican Republic","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","1-3","1-3","0","1-3","1-3","1793"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","0","1-3","0","1-3","1-3","1794"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","1-3","1-3","0","1795"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","1-3","7-9","0","1-3","7-9","0","1796"
"Russian Federation","Canada","Male","Canada","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","1-3","4-6","4-6","1-3","1-3","1797"
"","Canada","Other","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","1798"
"","Canada","Female","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","0","0","1-3","0","0","4-6","1799"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","10-12","1-3","1-3","10-12","1-3","1800"
"Indonesia","Canada","Male","Canada","Indonesia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","4-6","1-3","0","0","0","1801"
"United States","United States","Female","United States","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","7-9","4-6","0","0","0","0","1802"
"Nepal","Nepal","Male","Nepal","Nepal","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","4-6","4-6","4-6","4-6","4-6","1803"
"India","India","Male","India","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","4-6","1-3","1-3","4-6","0","1-3","1804"
"Japan","Japan","Male","Japan","Japan","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","1-3","4-6","0","0","1805"
"United States","United States","Male","United States","Iowa","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","0","0","1806"
"","Canada","Female","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","4-6","0","0","1807"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","7-9","1-3","1-3","1-3","0","0","1808"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","1-3","0","1-3","1-3","0","1-3","1809"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","0","1-3","4-6","1-3","4-6","0","1810"
"Canada","Canada","Female","Canada","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","1-3","1-3","0","1-3","1811"
"Canada","Canada","Male","Canada","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","10-12","1-3","0","10-12","1812"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","1-3","0","4-6","1-3","0","1813"
"Lebanon","Lebanon","Female","Lebanon","Lebanon","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","0","1-3","0","1-3","0","0","1814"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","4-6","1-3","4-6","1-3","0","0","1815"
"United States","Canada","Female","Canada","Hawaii","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","0","7-9","1-3","0","4-6","1-3","1816"
"","Canada","Female","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","0","0","1-3","0","0","1817"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","1-3","1-3","1-3","0","0","1818"
"Malaysia","Malaysia","Female","Malaysia","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","4-6","0","16+","1-3","0","1-3","1819"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","4-6","0","4-6","1-3","0","1820"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","0","0","1-3","0","0","1821"
"Germany","Germany","Male","Germany","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","4-6","1-3","0","4-6","0","0","1822"
"Switzerland","United Kingdom","Female","United Kingdom","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","1-3","4-6","0","0","1823"
"","Canada","Male","Canada","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","1-3","0","0","0","1824"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","1825"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","7-9","1-3","4-6","10-12","1-3","0","1826"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","0","1-3","4-6","0","4-6","1827"
"Canada","Canada","Female","Canada","Quebec","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","0","0","0","0","0","0","1828"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","1829"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","1-3","1-3","1-3","0","1830"
"Canada","Canada","Female","Canada","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","0","0","0","0","1831"
"Canada","Canada","Male","Canada","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","1-3","0","0","0","0","0","1832"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","10-12","1-3","0","7-9","1-3","0","1833"
"Germany","Canada","Male","Canada","Germany","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","1-3","0","0","1834"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","1-3","0","1-3","1835"
"","Bangladesh","Male","Bangladesh","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","1-3","1-3","1-3","1-3","0","1836"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","4-6","1-3","4-6","0","0","1837"
"Bangladesh","Bangladesh","Male","Bangladesh","Bangladesh","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","0","1-3","0","0","1838"
"United States","United States","Female","United States","Hawaii","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","0","7-9","0","1-3","1839"
"Indonesia","Indonesia","Male","Indonesia","Indonesia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","4-6","0","1-3","7-9","0","0","1840"
"France","Canada","Male","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","4-6","4-6","4-6","4-6","4-6","1841"
"United States","United States","Female","United States","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","0","0","1-3","0","0","0","1842"
"","Canada","Female","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","1-3","1-3","0","0","0","1843"
"United States","","Male","United States","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","4-6","4-6","4-6","1-3","1-3","1-3","1844"
"United Kingdom","United States","Female","United States","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","4-6","7-9","0","1-3","13-15","1-3","1845"
"United States","United States","Male","United States","Florida","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","0","4-6","0","0","1846"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other","0","0","1-3","0","0","0","1847"
"Canada","Canada","Male","Canada","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","0","0","0","0","1848"
"Canada","","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","0","4-6","0","0","1849"
"Nigeria","Nigeria","Male","Nigeria","Nigeria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","0","0","1-3","1850"
"Canada","Canada","Female","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","7-9","1-3","0","1-3","0","0","1851"
"United States","United States","Male","United States","Hawaii","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","0","0","4-6","4-6","4-6","1852"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","7-9","1-3","1-3","0","0","1853"
"United States","United States","Female","United States","Alabama","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","16+","16+","16+","16+","16+","16+","1854"
"","United States","Female","United States","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","7-9","1-3","0","1-3","0","0","1855"
"United States","United States","Male","United States","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","16+","0","0","0","0","0","1856"
"Spain","United States","Male","United States","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","0","0","0","1857"
"United States","United States","Male","United States","Texas","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","4-6","1-3","10-12","1-3","0","1858"
"United States","United States","Female","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","16+","16+","4-6","4-6","0","0","1859"
"United States","United States","Male","United States","North Carolina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","10-12","1-3","1-3","1-3","0","0","1860"
"United States","United States","Female","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","7-9","4-6","1-3","0","0","0","1861"
