"Location","Country_work","Country","nation"
"Florida","United States","United States","United States"
"Florida","United States","United States","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Massachusetts","","United States","United States"
"Massachusetts","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Germany","Germany","Germany","Germany"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"France","Australia","France","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Ohio","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"Massachusetts","United States","United States","United States"
"Antigua and Barbuda","United Kingdom","Antigua and Barbuda","United Kingdom"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"China","Australia","China","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Germany","Australia","Germany","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Sweden","Australia","Sweden","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Netherlands","Australia","Netherlands","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","Australia","","Australia"
"Massachusetts","United States","United States","United States"
"France","Australia","France","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Arizona","Australia","United States","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Germany","Australia","Germany","Australia"
"Australia","Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Brazil","Australia","Brazil","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Spain","Germany","Spain","Germany"
"Quebec","Canada","Canada","Canada"
"Australia","United States","Australia","United States"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Ontario","Canada","Canada","Canada"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"British Columbia","Canada","Canada","Canada"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"Australia","","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Norway","Australia","Norway","Australia"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Germany","United States","Germany","United States"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Brazil","Brazil","Brazil","Brazil"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Wisconsin","Australia","United States","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Spain","Spain","Spain","Spain"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Norway","New Zealand","Norway","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Germany","Germany","Germany","Germany"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Germany","Germany","Germany","Germany"
"Quebec","Canada","Canada","Canada"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Norway","United States","Norway","United States"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"","Canada","","Canada"
"Australia","Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia","Australia"
"Minnesota","Australia","United States","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"United Kingdom","New Zealand","United Kingdom","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Germany","New Zealand","Germany","New Zealand"
"Italy","New Zealand","Italy","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Texas","United States","United States","United States"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New York","United States","United States","United States"
"New Zealand","","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"France","New Zealand","France","New Zealand"
"","New Zealand","","New Zealand"
"New Zealand","","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Virginia","United States","United States","United States"
"Netherlands","United States","Netherlands","United States"
"Utah","United States","United States","United States"
"Argentina","Argentina","Argentina","Argentina"
"Virginia","United States","United States","United States"
"Minnesota","","United States","United States"
"Virginia","United States","United States","United States"
"Japan","United States","Japan","United States"
"Minnesota","United States","United States","United States"
"California","United States","United States","United States"
"Virginia","United States","United States","United States"
"Virginia","United States","United States","United States"
"Idaho","United States","United States","United States"
"Virginia","United States","United States","United States"
"Virginia","United States","United States","United States"
"Minnesota","United States","United States","United States"
"Utah","United States","United States","United States"
"California","United States","United States","United States"
"Virginia","United States","United States","United States"
"Utah","United States","United States","United States"
"Idaho","United States","United States","United States"
"Minnesota","United States","United States","United States"
"Idaho","United States","United States","United States"
"Virginia","United States","United States","United States"
"Virginia","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United States","United States","United States"
"Idaho","United States","United States","United States"
"Virginia","United States","United States","United States"
"Idaho","United States","United States","United States"
"Utah","","United States","United States"
"Idaho","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United States","United States","United States"
"","United States","","United States"
"Virginia","United States","United States","United States"
"Utah","United States","United States","United States"
"Idaho","United States","United States","United States"
"Idaho","United States","United States","United States"
"Idaho","United States","United States","United States"
"Minnesota","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United States","United States","United States"
"Utah","United Kingdom","United States","United Kingdom"
"Idaho","United States","United States","United States"
"Switzerland","United States","Switzerland","United States"
"Utah","United States","United States","United States"
"Idaho","United States","United States","United States"
"Utah","United States","United States","United States"
"Minnesota","United States","United States","United States"
"California","United States","United States","United States"
"Idaho","United States","United States","United States"
"Utah","United States","United States","United States"
"Idaho","United States","United States","United States"
"Australia","New Zealand","Australia","New Zealand"
"Utah","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"","United States","","United States"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"New Zealand","Australia","New Zealand","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Germany","Australia","Germany","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Pennsylvania","United States","United States","United States"
"Pennsylvania","United States","United States","United States"
"","United States","","United States"
"Pennsylvania","United States","United States","United States"
"District of Columbia","United States","United States","United States"
"California","United States","United States","United States"
"New York","United States","United States","United States"
"Germany","Australia","Germany","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Utah","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"France","France","France","France"
"Alberta","Canada","Canada","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Singapore","Singapore","Singapore","Singapore"
"United Kingdom","Malta","United Kingdom","Malta"
"Malta","Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"","Uruguay","","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Chile","Chile","Chile","Chile"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Massachusetts","United States","United States","United States"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"New York","Uruguay","United States","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Malta","Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Quebec","Uruguay","Canada","Uruguay"
"Iceland","Uruguay","Iceland","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Virginia","United States","United States","United States"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Japan","Malta","Japan","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Romania","Malta","Romania","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"United Kingdom","Malta","United Kingdom","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Luxembourg","Malta","Luxembourg","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Malta","Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"Malta","Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Quebec","Canada","Canada","Canada"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Mexico","Mexico","Mexico","Mexico"
"Arizona","United States","United States","United States"
"Mexico","Mexico","Mexico","Mexico"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"South Africa","South Africa","South Africa","South Africa"
"Cameroon","Cameroon","Cameroon","Cameroon"
"","Nigeria","","Nigeria"
"","Egypt","","Egypt"
"Malaysia","Malaysia","Malaysia","Malaysia"
"Kenya","","Kenya","Kenya"
"Belgium","Uganda","Belgium","Uganda"
"Uganda","Uganda","Uganda","Uganda"
"Ontario","India","Canada","India"
"Chile","Chile","Chile","Chile"
"Chile","Chile","Chile","Chile"
"Uruguay","Uruguay","Uruguay","Uruguay"
"India","India","India","India"
"Chile","Chile","Chile","Chile"
"Chile","Chile","Chile","Chile"
"United Kingdom","Chile","United Kingdom","Chile"
"Uruguay","Uruguay","Uruguay","Uruguay"
"United Kingdom","Ethiopia","United Kingdom","Ethiopia"
"Spain","Spain","Spain","Spain"
"India","India","India","India"
"","India","","India"
"India","India","India","India"
"Arizona","Chile","United States","Chile"
"","India","","India"
"India","India","India","India"
"Kenya","Kenya","Kenya","Kenya"
"Indonesia","India","Indonesia","India"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"France","Uruguay","France","Uruguay"
"Iowa","United States","United States","United States"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"India","India","India","India"
"Uruguay","Uruguay","Uruguay","Uruguay"
"India","India","India","India"
"India","India","India","India"
"","India","","India"
"India","India","India","India"
"India","India","India","India"
"Japan","India","Japan","India"
"India","India","India","India"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"India","India","India","India"
"India","India","India","India"
"Switzerland","India","Switzerland","India"
"Ontario","India","Canada","India"
"India","India","India","India"
"India","India","India","India"
"India","India","India","India"
"Indonesia","India","Indonesia","India"
"India","India","India","India"
"India","India","India","India"
"India","India","India","India"
"India","India","India","India"
"India","India","India","India"
"","India","","India"
"Minnesota","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Argentina","Argentina","Argentina","Argentina"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Argentina","Uruguay","Argentina","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Brazil","Uruguay","Brazil","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Brazil","Brazil","Brazil","Brazil"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Uruguay","","Uruguay"
"Spain","Spain","Spain","Spain"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Uruguay","","Uruguay","Uruguay"
"Turkey","Turkey","Turkey","Turkey"
"India","India","India","India"
"Belgium","Belgium","Belgium","Belgium"
