"Country","Country_work","gender","Location","what_participant_group","field_research","type","percent"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","successful_grants_6_10_fundamental","70"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","100"
"Israel","","Male","Israel","","Interdisciplinary Science","successful_grants_6_10_fundamental","100"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","10"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","50"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","30"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","90"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","50"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","20"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","20"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_6_10_fundamental","80"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","10"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","40"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","80"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","30"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","70"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","20"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","40"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","20"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_fundamental","0"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","80"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","20"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","30"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","40"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","70"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","90"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","10"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","100"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","successful_grants_6_10_use","20"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_6_10_use","30"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","60"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_6_10_use","30"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_use","10"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","40"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_6_10_use","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","100"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","100"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","0"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","60"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","20"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_6_10_use","40"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","100"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","60"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","70"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_6_10_use","60"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","100"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_use","0"
"Israel","","","Israel","","","successful_grants_6_10_use","100"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","20"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","100"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","0"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","20"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","100"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","20"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","50"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","100"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","20"
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_6_10_use","50"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","90"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","50"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","40"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_use","10"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","20"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","30"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","60"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_use","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","10"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","10"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_use","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_use","0"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","successful_grants_6_10_applied","0"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_6_10_applied","50"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_6_10_applied","20"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","10"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","60"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_6_10_applied","20"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_applied","20"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","10"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","50"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","40"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","10"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_6_10_applied","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","10"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","90"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","30"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","60"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","80"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","0"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_6_10_applied","0"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","60"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","50"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_6_10_applied","30"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","50"
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","successful_grants_6_10_applied","70"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","80"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_applied","0"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_applied","0"
"Israel","","","Israel","","","successful_grants_6_10_applied","100"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","20"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","20"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","90"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","0"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","30"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","20"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","70"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","40"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","80"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","50"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","50"
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Greece","","","Greece","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","100"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_6_10_applied","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","20"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","100"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","50"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","10"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","50"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_applied","40"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","10"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","40"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","60"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","80"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","100"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","90"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","10"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_6_10_applied","60"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_applied","80"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_applied","0"
