"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",80
"Georgia","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",70
"Minnesota","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Idaho","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",180,"percent_Applied_Research_current",50
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",140,"percent_Applied_Research_current",57.1428571428571
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",80,"percent_Applied_Research_current",50
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_Applied_Research_current",18.1818181818182
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Uruguay","Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",0
"Indonesia","Indonesia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",90,"percent_Applied_Research_current",40
"Uruguay","Uruguay","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",140,"percent_Applied_Research_current",57.1428571428571
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",50
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",60
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",10
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",50
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",20
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",180,"percent_Fundamental_Research_past",55.5555555555556
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Fundamental_Research_past",81.8181818181818
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Fundamental_Research_past",81.8181818181818
"British Columbia","Canada","","","","",120,"percent_Fundamental_Research_past",41.6666666666667
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",10
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",80
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Fundamental_Research_past",83.3333333333333
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",70
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",50
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",90
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",180,"percent_Fundamental_Research_past",33.3333333333333
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",100
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",50
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",20
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",50
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",20
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",100
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",50,"percent_Fundamental_Research_past",50
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",100
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",50
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",80
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",20
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",160,"percent_Fundamental_Research_past",56.25
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",200,"percent_Fundamental_Research_past",50
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Fundamental_Research_past",25
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",0
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",60
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_Fundamental_Research_past",90.9090909090909
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",0
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Washington","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",20
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",140,"percent_Fundamental_Research_past",57.1428571428571
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",10
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",90
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",40
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",20
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_Fundamental_Research_past",50
"Russian Federation","Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"Florida","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",80
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",60
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"New Brunswick","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_Fundamental_Research_past",20
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",50,"percent_Fundamental_Research_past",0
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_Fundamental_Research_past",81.8181818181818
"Nova Scotia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",60
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",50
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",10
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"percent_Fundamental_Research_past",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",60
"Israel","Israel","","","","",100,"percent_Fundamental_Research_past",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",80
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",170,"percent_Fundamental_Research_past",58.8235294117647
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_Fundamental_Research_past",81.8181818181818
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Massachusetts","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",60
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Utah","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",190,"percent_Fundamental_Research_past",31.5789473684211
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",0
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",100
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",100,"percent_Fundamental_Research_past",100
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",90,"percent_Fundamental_Research_past",80
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",60
"Pakistan","Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",130,"percent_Fundamental_Research_past",38.4615384615385
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",10
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",60
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",40
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",60
"Alabama","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",80
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",80
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_Fundamental_Research_past",50
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",20
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",130,"percent_Fundamental_Research_past",53.8461538461538
"Europe","Europe","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Fundamental_Research_past",40
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",0
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",30
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",0
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",40
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",60
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",40
"Georgia","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",30
"Minnesota","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",0
"Idaho","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",30
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",180,"percent_Fundamental_Research_past",38.8888888888889
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",140,"percent_Fundamental_Research_past",21.4285714285714
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",80,"percent_Fundamental_Research_past",0
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_Fundamental_Research_past",36.3636363636364
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",80
"Uruguay","Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Fundamental_Research_past",100
"Indonesia","Indonesia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",100
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",50
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",90,"percent_Fundamental_Research_past",60
"Uruguay","Uruguay","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",140,"percent_Fundamental_Research_past",21.4285714285714
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",70
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",60
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",100
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",0
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",10
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",60
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",10
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Fundamental_Research_past",90
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Fundamental_Research_past",10
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",180,"percent_Use_inspired_Research_past",16.6666666666667
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Use_inspired_Research_past",18.1818181818182
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Use_inspired_Research_past",18.1818181818182
"British Columbia","Canada","","","","",120,"percent_Use_inspired_Research_past",41.6666666666667
