"Country","Country_work","gender","what_participant_group","field_research","Location","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",1,1,1,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Saskatchewan",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Germany",NA,1,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,1,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",1,NA,1,NA,NA
"Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","","Ireland",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Switzerland",1,1,NA,1,NA
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Pennsylvania",NA,NA,NA,NA,NA
"USA","","","","","Indiana",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"USA","","","","","Louisiana",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Iowa",NA,NA,NA,NA,NA
"USA","","","","","Pennsylvania",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York",1,1,NA,1,NA
"Czech Republic","","","Senior academic researcher with >10 years of experience applying for research grants","","Czech Republic",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Minnesota",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Manitoba",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Arizona",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Massachusetts",1,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",NA,NA,NA,NA,NA
"Singapore","","","","","Singapore",NA,NA,NA,NA,NA
"USA","","","","","California",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York",NA,NA,NA,1,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Colorado",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","California",1,1,NA,1,NA
"USA","","","","","Oregon",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Virginia",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California",1,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Japan","","","Senior academic researcher with >10 years of experience applying for research grants","","Japan",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Illinois",NA,NA,NA,NA,NA
"Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Uruguay",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","","Ireland",NA,NA,NA,NA,NA
"China","","","Senior academic researcher with >10 years of experience applying for research grants","","China",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Alabama",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",1,1,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Utah",1,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta",1,1,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Delaware",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Malaysia","","","","","Malaysia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Nova Scotia",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",1,NA,NA,1,NA
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador",1,1,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","California",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Michigan",NA,NA,NA,NA,NA
"Benin","","","","","Benin",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","British Columbia",1,1,NA,1,NA
"","","","","","",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",1,1,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"USA","","","","","Arizona",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick",1,NA,NA,1,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"USA","","","","","Florida",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",1,1,1,1,NA
"Malaysia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Malaysia",NA,NA,NA,NA,NA
"Canada","","","","","Saskatchewan",NA,NA,NA,NA,NA
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick",1,1,NA,1,NA
"USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","District of Columbia",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario",NA,NA,NA,1,NA
"Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Delaware",NA,NA,NA,NA,NA
"USA","","","","","Hawaii",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,1,NA
"Pakistan","","","","","Pakistan",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Pakistan",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"USA","","","","","Colorado",NA,NA,NA,NA,NA
"USA","","","","","Hawaii",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Bangladesh","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Bangladesh",NA,NA,NA,NA,NA
"Egypt","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Egypt",NA,NA,NA,NA,NA
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Utah",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Florida",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","California",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"Denmark","","","","","Denmark",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",1,NA,1,1,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",1,1,1,1,NA
"Singapore","","","","","Singapore",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alabama",NA,NA,NA,NA,1
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","Greece",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Massachusetts",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,1
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,1,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"Greece","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Greece",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,1,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",1,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium",NA,NA,NA,NA,NA
"Belgium","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Belgium",NA,NA,NA,NA,NA
"Germany","","","","","Germany",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Netherlands",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Brazil","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Brazil",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Washington",NA,NA,NA,NA,NA
"","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",1,NA,NA,1,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia",1,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,1,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"Singapore","","","","","Singapore",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"New Zealand","","","","","New Zealand",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"USA","","","","","New Hampshire",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California",NA,NA,NA,NA,NA
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand",NA,NA,NA,NA,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,NA,NA
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand",NA,NA,NA,NA,NA
"Germany","","","","","Germany",NA,NA,NA,NA,NA
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario",NA,NA,NA,1,NA
"Canada","","","","","Newfoundland and Labrador",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario",NA,NA,NA,NA,NA
"Tanzania","","","Senior academic researcher with >10 years of experience applying for research grants","","Tanzania",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Germany",NA,NA,NA,NA,NA
"Ireland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ireland",NA,NA,NA,NA,NA
"USA","","","","","Massachusetts",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Florida",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"USA","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","District of Columbia",NA,NA,NA,NA,NA
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium",NA,NA,NA,NA,NA
"USA","","","","","District of Columbia",NA,NA,NA,NA,NA
"China","","","","","China",NA,NA,NA,NA,NA
"Malaysia","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Malaysia",NA,NA,NA,NA,NA
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India",NA,NA,1,1,NA
"Europe","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Europe",NA,1,NA,NA,NA
"Kentucky","","","Senior academic researcher with >10 years of experience applying for research grants","","Kentucky",NA,NA,NA,NA,NA
"Germany","","","","","Germany",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Massachusetts",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Massachusetts",NA,NA,NA,NA,NA
"South Africa","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","South Africa",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Massachusetts",NA,NA,NA,1,NA
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom",NA,NA,NA,1,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,1,NA,1,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",1,NA,NA,1,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,1,NA,1,NA
