"Location","Country","Country_work","gender","what_participant_group","field_research","changed_10yrs","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Saskatchewan","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"South Africa","South Africa","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Saskatchewan","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Saskatchewan","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Manitoba","Canada","","","","","",NA,NA,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","Male","","Interdisciplinary Science","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Nova Scotia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,1,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,NA,1,NA
"Saskatchewan","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,NA,NA,NA
"Israel","Israel","","","","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,1
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,1,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,1,NA
"Ireland","Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,NA,NA
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Pennsylvania","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Indiana","USA","","","","","",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"Louisiana","USA","","","","","",NA,NA,NA,NA,NA
"Iowa","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Pennsylvania","USA","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,NA,NA
"Czech Republic","Czech Republic","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Minnesota","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Manitoba","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Arizona","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Massachusetts","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,1,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Singapore","Singapore","","","","","",NA,NA,NA,NA,NA
"California","USA","","","","","",NA,NA,NA,NA,NA
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Colorado","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"California","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Oregon","USA","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Virginia","USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",NA,NA,NA,NA,NA
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,1,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Japan","Japan","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Illinois","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Uruguay","Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,NA,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Ireland","Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alabama","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Utah","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,NA,NA,NA
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,1,NA
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Yes",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Malaysia","Malaysia","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Nova Scotia","Canada","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,NA,NA,NA
"California","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Michigan","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Benin","Benin","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Yes",1,1,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Arizona","USA","","","","","",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Florida","USA","","","","","",NA,NA,NA,NA,NA
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Malaysia","Malaysia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Saskatchewan","Canada","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,NA,NA
"District of Columbia","USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",NA,NA,1,1,NA
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Hawaii","USA","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Pakistan","Pakistan","","","","","",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Pakistan","Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Colorado","USA","","","","","",NA,NA,NA,NA,NA
"Hawaii","USA","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Bangladesh","Bangladesh","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Egypt","Egypt","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Utah","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Florida","USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"California","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Denmark","Denmark","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,1,1,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,1,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,1,NA
"Singapore","Singapore","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,1,1,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Alabama","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,1,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"Massachusetts","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,1,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,1,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Greece","Greece","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Belgium","Belgium","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Germany","Germany","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Washington","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,NA,NA,NA
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,1,NA
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,1,NA,1
"Singapore","Singapore","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"New Hampshire","USA","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","No",NA,NA,NA,NA,NA
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
