"Country","Country_work","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","","","",""
"Australia","","","Australia","","","",""
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","Very important",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"France","","","France","","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Greece","","","Greece","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Somewhat important"
"United Kingdom","","","United Kingdom","","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Belgium","","","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Belgium","","","Belgium","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Germany","","","Germany","","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","","","",""
"Australia","","","Australia","","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Quebec","","","",""
"United Kingdom","","","United Kingdom","","","",""
"Brazil","","","Brazil","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Washington","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Singapore","","","Singapore","","","",""
"Australia","","","Australia","","","",""
"Netherlands","","","Netherlands","","","",""
"New Zealand","","","New Zealand","","","",""
"United Kingdom","","","United Kingdom","","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","New Hampshire","","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment","Can't comment"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Somewhat important"
"Germany","","","Germany","","","",""
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important"
"Canada","","","Newfoundland and Labrador","","","",""
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Tanzania","","","Tanzania","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Ireland","","","Ireland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"USA","","","Massachusetts","","","",""
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","","","",""
"Brazil","","","Brazil","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"Canada","","","British Columbia","","","",""
"USA","","","District of Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Belgium","","","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","District of Columbia","","","",""
"China","","","China","","","",""
"Malaysia","","","Malaysia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Mandatory","Can't comment"
"Kentucky","","","Kentucky","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Germany","","","Germany","","","",""
"USA","","","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"South Africa","","","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Quite important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Australia","","","Australia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Massachusetts","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","Can't comment","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Quite important"
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very important","Very important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very important","Very important"
"New Zealand","","","New Zealand","","","",""
"South Africa","","","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Somewhat important"
"Romania","","","Romania","","","",""
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Very important","Very important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","British Columbia","","","",""
"South Africa","","","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","British Columbia","","","",""
"New Zealand","","","New Zealand","","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"China","","","China","","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","",""
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Somewhat important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Israel","Israel","","Israel","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Other","Not at all important",""
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Georgia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Texas","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","","","",""
"USA","","","Idaho","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Idaho","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Utah","","","",""
"USA","","","Utah","","","",""
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Very important"
"USA","","","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Utah","","","",""
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Utah","","","",""
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Idaho","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Idaho","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Minnesota","","","",""
"USA","","","Utah","","","",""
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Nigeria","","","Nigeria","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Quite important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quite important","Can't comment"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Australia","","","Australia","","","",""
"","","","","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Australia","","","Australia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Australia","","","Australia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Australia","","","Australia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Australia","","","Australia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","","","",""
"","","","","","","",""
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important",""
"Australia","","","Australia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"USA","","","Florida","","","",""
"Canada","","","Ontario","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Utah","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","","","",""
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Somewhat important"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Netherlands","","","Netherlands","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Mandatory","Can't comment"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","","","",""
"Canada","","","Nova Scotia","","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Uruguay","","","Uruguay","","","",""
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Uruguay","","","Uruguay","","","",""
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Brazil","","","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Mandatory"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Mandatory","Mandatory"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Ethiopia","","","Ethiopia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","","","",""
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Not at all important","Not at all important"
"Russian Federation","","","Russian Federation","","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Germany","","","Germany","","","",""
"Kenya","","","Kenya","","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","Not at all important","Can't comment"
"India","","","India","","","",""
"Chile","","","Chile","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Kenya","","","Kenya","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Chile","","","Chile","","","",""
"","","","","","","",""
"Chile","","","Chile","","","",""
"Uruguay","","","Uruguay","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Nigeria","","","Nigeria","","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","",""
"India","","","India","","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Indonesia","","","Indonesia","","","",""
"Uruguay","","","Uruguay","","","",""
"Uruguay","","","Uruguay","","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Indonesia","","","Indonesia","","","",""
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important",""
"","","","","","","",""
"Japan","","","Japan","","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Can't comment"
"Chile","","","Chile","","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Somewhat important"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Mandatory"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","Very important",""
"","","","","","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Quite important"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Very important","Very important"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Brazil","","","Brazil","","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","","","",""
"South Africa","","","South Africa","","","",""
"India","","","India","","","",""
"USA","","","New York","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"India","","","India","","","",""
"Romania","","","Romania","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Nigeria","","","Nigeria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"India","","","India","","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Can't comment"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Latvia","","","Latvia","","","",""
"Albania","","","Albania","","","",""
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Very important"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Iceland","","","Iceland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"New Zealand","","","New Zealand","","","",""
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Not at all important"
"Romania","","","Romania","","","",""
"India","","","India","","","",""
"India","","","India","","","",""
"India","","","India","","","",""
"Australia","","","Australia","","","",""
"New Zealand","","","New Zealand","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Morocco","","","Morocco","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Can't comment"
"India","","","India","","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Not at all important"
"India","","","India","","","",""
"Malta","","","Malta","","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
