"Location","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"Brazil","Brazil","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Washington","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Nova Scotia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Singapore","Singapore","","","","",""
"Australia","Australia","","","","",""
"Netherlands","Netherlands","","","","",""
"New Zealand","New Zealand","","","","",""
"United Kingdom","United Kingdom","","","","",""
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","",""
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Hampshire","USA","","","","",""
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"California","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Germany","","","","",""
"Ontario","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Newfoundland and Labrador","Canada","","","","",""
"Ontario","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Tanzania","Tanzania","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Germany","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ireland","Ireland","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Massachusetts","USA","","","","",""
"Florida","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","",""
"Brazil","Brazil","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"British Columbia","Canada","","","","",""
"District of Columbia","USA","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Belgium","Belgium","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"District of Columbia","USA","","","","",""
"China","China","","","","",""
"Malaysia","Malaysia","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Europe","Europe","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Kentucky","Kentucky","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Germany","","","","",""
"Massachusetts","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Massachusetts","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"South Africa","South Africa","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Massachusetts","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Australia","Australia","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Massachusetts","USA","","","","",""
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Japan","Japan","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"New Zealand","New Zealand","","","","",""
"South Africa","South Africa","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Romania","Romania","","","","",""
"New Zealand","New Zealand","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"China","China","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"British Columbia","Canada","","","","",""
"South Africa","South Africa","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"British Columbia","Canada","","","","",""
"New Zealand","New Zealand","","","","",""
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"China","China","","","","",""
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","Other","Israel","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Utah","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Georgia","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Texas","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","",""
"Idaho","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Minnesota","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"California","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","USA","","","","",""
"Utah","USA","","","","",""
"Utah","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Minnesota","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","USA","","","","",""
"Utah","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","USA","","","","",""
"Utah","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Idaho","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Minnesota","USA","","","","",""
"Utah","USA","","","","",""
"Utah","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Minnesota","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Minnesota","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Nigeria","Nigeria","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Netherlands","Netherlands","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Minnesota","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Australia","Australia","","","","",""
"","","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Australia","Australia","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Australia","Australia","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Australia","Australia","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","",""
"","","","","","",""
"","","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Florida","USA","","","","",""
"Ontario","Canada","","","","",""
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","",""
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","",""
"British Columbia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","",""
"Nova Scotia","Canada","","","","",""
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malta","Malta","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","",""
"Brazil","Brazil","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","",""
"Argentina","Argentina","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Brazil","Brazil","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malta","Malta","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malta","Malta","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","",""
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ethiopia","Ethiopia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","",""
"Uruguay","Uruguay","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Russian Federation","Russian Federation","","","","",""
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Germany","","","","",""
"Kenya","Kenya","","","","",""
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","",""
"Chile","Chile","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Kenya","Kenya","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Chile","Chile","","","","",""
"","","","","","",""
"Chile","Chile","","","","",""
"Uruguay","Uruguay","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Nigeria","Nigeria","","","","",""
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","",""
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Indonesia","Indonesia","","","","",""
"Uruguay","Uruguay","","","","",""
"Uruguay","Uruguay","","","","",""
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","",""
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Indonesia","Indonesia","","","","",""
"Indonesia","Indonesia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","",""
"Japan","Japan","","","","",""
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Chile","Chile","","","","",""
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Brazil","Brazil","","","","",""
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"South Africa","South Africa","","","","",""
"India","India","","","","",""
"New York","USA","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"India","India","","","","",""
"Romania","Romania","","","","",""
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Nigeria","Nigeria","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"India","India","","","","",""
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Latvia","Latvia","","","","",""
"Albania","Albania","","","","",""
"California","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Iceland","Iceland","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"New Zealand","New Zealand","","","","",""
"New Zealand","New Zealand","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","",""
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Malta","Malta","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malta","Malta","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Romania","Romania","","","","",""
"India","India","","","","",""
"India","India","","","","",""
"India","India","","","","",""
"Australia","Australia","","","","",""
"New Zealand","New Zealand","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Morocco","Morocco","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","",""
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","","","","",""
"Malta","Malta","","","","",""
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
